Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
2.501,0.51,0.72,0.51,7.2
2.6,0.51,0.75,0.51,7.5
2.7,0.525,0.78,0.525,7.8
2.8,0.525,0.805,0.525,8.05
2.901,0.525,0.835,0.525,8.35
3.0,0.54,0.865,0.54,8.65
3.1,0.54,0.895,0.54,8.95
3.2,0.555,0.92,0.555,9.2
3.302,0.555,0.95,0.555,9.5
3.4,0.555,0.975,0.555,9.75
3.501,0.555,1.005,0.555,10.05
3.6,0.57,1.035,0.57,10.35
3.701,0.57,1.065,0.57,10.65
3.8,0.57,1.095,0.57,10.95
3.9,0.57,1.12,0.57,11.2
4.001,0.57,1.15,0.57,11.5
4.1,0.57,1.18,0.57,11.8
4.201,0.585,1.205,0.585,12.05
4.3,0.585,1.235,0.585,12.35
4.4,0.585,1.265,0.585,12.65
4.5,0.585,1.29,0.585,12.9
4.601,0.585,1.32,0.585,13.2
4.7,0.585,1.35,0.585,13.5
4.8,0.585,1.38,0.585,13.8
4.901,0.585,1.405,0.585,14.05
5.0,0.57,1.435,0.57,14.35
5.101,0.57,1.465,0.57,14.65
5.2,0.57,1.49,0.57,14.9
5.3,0.57,1.52,0.57,15.2
5.4,0.555,1.55,0.555,15.5
5.501,0.555,1.575,0.555,15.75
5.6,0.555,1.605,0.555,16.05
5.701,0.555,1.635,0.555,16.35
5.8,0.54,1.66,0.54,16.6
5.901,0.54,1.69,0.54,16.9
6.001,0.54,1.72,0.54,17.2
6.1,0.54,1.745,0.54,17.45
6.2,0.525,1.775,0.525,17.75
6.299,0.525,1.8,0.525,18.0
6.4,0.525,1.83,0.525,18.3
6.501,0.525,1.86,0.525,18.6
6.601,0.51,1.89,0.51,18.9
6.7,0.51,1.915,0.51,19.15
6.801,0.51,1.945,0.51,19.45
6.9,0.51,1.97,0.51,19.7
7.0,0.495,2.0,0.495,20.0
7.1,0.495,2.03,0.495,20.3
7.2,0.495,2.06,0.495,20.6
7.301,0.495,2.085,0.495,20.85
7.4,0.495,2.115,0.495,21.15
7.501,0.48,2.14,0.48,21.4
7.601,0.48,2.17,0.48,21.7
7.7,0.48,2.2,0.48,22.0
7.801,0.48,2.225,0.48,22.25
7.9,0.48,2.255,0.48,22.55
8.001,0.465,2.28,0.465,22.8
8.101,0.465,2.31,0.465,23.1
8.2,0.465,2.34,0.465,23.4
8.3,0.465,2.37,0.465,23.7
8.4,0.465,2.395,0.465,23.95
8.501,0.465,2.425,0.465,24.25
8.601,0.45,2.45,0.45,24.5
8.7,0.465,2.48,0.465,24.8
8.8,0.465,2.51,0.465,25.1
8.901,0.465,2.535,0.465,25.35
9.0,0.465,2.56,0.465,25.6
9.1,0.465,2.59,0.465,25.9
9.2,0.48,2.62,0.48,26.2
9.3,0.48,2.645,0.48,26.45
9.401,0.48,2.675,0.48,26.75
9.5,0.495,2.705,0.495,27.05
9.6,0.495,2.73,0.495,27.3
9.7,0.495,2.76,0.495,27.6
9.8,0.51,2.785,0.51,27.85
9.899,0.51,2.815,0.51,28.15
10.0,0.525,2.845,0.525,28.45
10.1,0.54,2.87,0.54,28.7
10.201,0.54,2.9,0.54,29.0
10.3,0.555,2.925,0.555,29.25
10.4,0.555,2.955,0.555,29.55
10.501,0.57,2.985,0.57,29.85
10.601,0.585,3.01,0.585,30.1
10.7,0.585,3.04,0.585,30.4
10.8,0.6,3.065,0.6,30.65
10.9,0.615,3.095,0.615,30.95
11.0,0.615,3.125,0.615,31.25
11.101,0.63,3.15,0.63,31.5
