Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
0.501,0.45,0.105,0.45,1.05
0.601,0.45,0.13,0.45,1.3
0.701,0.45,0.16,0.45,1.6
0.801,0.465,0.19,0.465,1.9
0.901,0.465,0.215,0.465,2.15
1.001,0.465,0.245,0.465,2.45
1.101,0.465,0.275,0.465,2.75
1.199,0.48,0.305,0.48,3.05
1.3,0.48,0.33,0.48,3.3
1.401,0.48,0.36,0.48,3.6
1.5,0.495,0.39,0.495,3.9
1.6,0.495,0.415,0.495,4.15
1.701,0.495,0.445,0.495,4.45
1.8,0.51,0.475,0.51,4.75
1.901,0.51,0.5,0.51,5.0
2.0,0.51,0.53,0.51,5.3
2.1,0.51,0.56,0.51,5.6
2.201,0.525,0.585,0.525,5.85
2.3,0.525,0.615,0.525,6.15
2.4,0.525,0.64,0.525,6.4
2.5,0.525,0.67,0.525,6.7
2.6,0.54,0.7,0.54,7.0
2.7,0.54,0.725,0.54,7.25
2.801,0.54,0.76,0.54,7.6
2.9,0.54,0.785,0.54,7.85
3.0,0.555,0.81,0.555,8.1
3.1,0.555,0.84,0.555,8.4
3.201,0.555,0.87,0.555,8.7
3.301,0.555,0.9,0.555,9.0
3.401,0.57,0.925,0.57,9.25
3.501,0.57,0.955,0.57,9.55
3.601,0.57,0.98,0.57,9.8
3.7,0.585,1.01,0.585,10.1
3.8,0.585,1.04,0.585,10.4
3.901,0.585,1.065,0.585,10.65
4.001,0.585,1.095,0.585,10.95
4.1,0.6,1.12,0.6,11.2
4.2,0.6,1.15,0.6,11.5
4.301,0.6,1.18,0.6,11.8
4.401,0.615,1.205,0.615,12.05
4.5,0.615,1.235,0.615,12.35
4.6,0.615,1.265,0.615,12.65
4.7,0.615,1.29,0.615,12.9
4.8,0.63,1.32,0.63,13.2
4.9,0.63,1.35,0.63,13.5
5.001,0.63,1.375,0.63,13.75
5.1,0.63,1.405,0.63,14.05
5.201,0.645,1.43,0.645,14.3
5.301,0.645,1.46,0.645,14.6
5.4,0.645,1.49,0.645,14.9
5.501,0.645,1.515,0.645,15.15
5.6,0.66,1.545,0.66,15.45
5.7,0.66,1.575,0.66,15.75
5.801,0.66,1.6,0.66,16.0
5.9,0.675,1.625,0.675,16.25
6.001,0.675,1.655,0.675,16.55
6.101,0.675,1.685,0.675,16.85
6.2,0.675,1.71,0.675,17.1
6.3,0.69,1.74,0.69,17.4
6.4,0.675,1.765,0.675,17.65
6.5,0.66,1.795,0.66,17.95
6.601,0.63,1.825,0.63,18.25
6.701,0.6,1.85,0.6,18.5
6.8,0.57,1.88,0.57,18.8
6.9,0.54,1.91,0.54,19.1
7.0,0.51,1.935,0.51,19.35
7.1,0.48,1.965,0.48,19.65
7.2,0.45,1.99,0.45,19.9
7.3,0.42,2.02,0.42,20.2
7.4,0.39,2.045,0.39,20.45
7.501,0.375,2.075,0.375,20.75
7.601,0.36,2.105,0.36,21.05
7.701,0.345,2.13,0.345,21.3
7.8,0.33,2.16,0.33,21.6
7.9,0.33,2.185,0.33,21.85
8.0,0.33,2.215,0.33,22.15
8.1,0.315,2.24,0.315,22.4
8.201,0.315,2.27,0.315,22.7
8.301,0.315,2.295,0.315,22.95
8.4,0.33,2.325,0.33,23.25
8.501,0.33,2.355,0.33,23.55
8.6,0.33,2.38,0.33,23.8
8.7,0.345,2.405,0.345,24.05
8.8,0.345,2.435,0.345,24.35
8.9,0.36,2.465,0.36,24.65
9.0,0.375,2.495,0.375,24.95
9.1,0.39,2.52,0.39,25.2
9.2,0.45,2.55,0.45,25.5
9.3,0.525,2.575,0.525,25.75
9.4,0.585,2.6,0.585,26.0
9.5,0.645,2.63,0.645,26.3
9.601,0.69,2.66,0.69,26.6
9.7,0.735,2.685,0.735,26.85
9.801,0.78,2.715,0.78,27.15
9.9,0.87,2.74,0.87,27.4
9.999,0.975,2.77,0.975,27.7
10.101,1.065,2.795,1.065,27.95
10.2,1.155,2.825,1.155,28.25
10.301,1.23,2.85,1.23,28.5
10.401,1.32,2.88,1.32,28.8
10.5,1.395,2.905,1.395,29.05
10.601,1.455,2.935,1.455,29.35
10.701,1.53,2.96,1.53,29.6
10.801,1.59,2.99,1.59,29.9
10.9,1.635,3.02,1.635,30.2
11.001,1.695,3.045,1.695,30.45
11.1,1.74,3.07,1.74,30.7
11.2,1.785,3.1,1.785,31.0
11.3,1.815,3.13,1.815,31.3
11.4,1.86,3.155,1.86,31.55
11.5,1.875,3.185,1.875,31.85
11.601,1.905,3.21,1.905,32.1
11.7,1.92,3.24,1.92,32.4
11.8,1.95,3.265,1.95,32.65
11.901,1.95,3.295,1.95,32.95
12.0,1.965,3.32,1.965,33.2
12.1,1.965,3.35,1.965,33.5
12.201,1.965,3.375,1.965,33.75
12.301,1.98,3.405,1.98,34.05
12.4,1.965,3.43,1.965,34.3
12.5,1.95,3.46,1.95,34.6
12.601,1.875,3.485,1.875,34.85
12.701,1.77,3.515,1.77,35.15
12.8,1.605,3.54,1.605,35.4
12.9,1.44,3.57,1.44,35.7
13.0,1.305,3.595,1.305,35.95
13.101,1.155,3.625,1.155,36.25
13.2,1.005,3.65,1.005,36.5
13.301,0.855,3.68,0.855,36.8
13.4,0.75,3.705,0.75,37.05
13.5,0.66,3.735,0.66,37.35
13.6,0.57,3.76,0.57,37.6
13.7,0.51,3.79,0.51,37.9
13.8,0.435,3.815,0.435,38.15
13.901,0.39,3.845,0.39,38.45
14.001,0.33,3.87,0.33,38.7
14.101,0.285,3.9,0.285,39.0
14.2,0.24,3.925,0.24,39.25
14.3,0.195,3.955,0.195,39.55
14.4,0.165,3.98,0.165,39.8
14.5,0.135,4.005,0.135,40.05
14.6,0.12,4.035,0.12,40.35
14.7,0.09,4.06,0.09,40.6
14.8,0.075,4.09,0.075,40.9
14.9,0.06,4.115,0.06,41.15
15.0,0.045,4.145,0.045,41.45
15.1,0.045,4.17,0.045,41.7
15.201,0.045,4.2,0.045,42.0
15.301,0.06,4.225,0.06,42.25
15.4,0.09,4.255,0.09,42.55
15.501,0.105,4.28,0.105,42.8
15.601,0.12,4.31,0.12,43.1
15.7,0.135,4.335,0.135,43.35
15.8,0.135,4.36,0.135,43.6
15.901,0.165,4.39,0.165,43.9
16.001,0.21,4.415,0.21,44.15
16.101,0.255,4.445,0.255,44.45
16.201,0.3,4.47,0.3,44.7
16.301,0.345,4.5,0.345,45.0
16.4,0.39,4.525,0.39,45.25
16.5,0.435,4.555,0.435,45.55
16.6,0.495,4.58,0.495,45.8
16.699,0.555,4.61,0.555,46.1
16.8,0.615,4.635,0.615,46.35
16.9,0.69,4.66,0.69,46.6
16.999,0.75,4.69,0.75,46.9
17.1,0.81,4.715,0.81,47.15
17.201,0.885,4.745,0.885,47.45
17.301,0.96,4.77,0.96,47.7
17.4,1.05,4.8,1.05,48.0
17.5,1.14,4.825,1.14,48.25
17.6,1.245,4.85,1.245,48.5
17.7,1.35,4.88,1.35,48.8
17.801,1.44,4.905,1.44,49.05
17.9,1.53,4.935,1.53,49.35
18.0,1.605,4.96,1.605,49.6
18.099,1.695,4.985,1.695,49.85
18.2,1.77,5.015,1.77,50.15
18.301,1.83,5.04,1.83,50.4
18.4,1.905,5.07,1.905,50.7
18.5,1.965,5.095,1.965,50.95
18.601,2.01,5.12,2.01,51.2
18.701,2.055,5.15,2.055,51.5
18.8,2.085,5.175,2.085,51.75
18.9,2.085,5.205,2.085,52.05
19.0,2.055,5.23,2.055,52.3
19.101,1.98,5.255,1.98,52.55
19.2,1.905,5.285,1.905,52.85
19.3,1.815,5.31,1.815,53.1
19.401,1.74,5.34,1.74,53.4
19.5,1.65,5.365,1.65,53.65
19.601,1.545,5.395,1.545,53.95
19.701,1.41,5.42,1.41,54.2
20.2,0.855,5.555,0.855,55.55
20.3,0.765,5.58,0.765,55.8
20.401,0.69,5.605,0.69,56.05
20.499,0.6,5.635,0.6,56.35
20.601,0.525,5.66,0.525,56.6
20.701,0.45,5.69,0.45,56.9
20.801,0.375,5.715,0.375,57.15
20.9,0.3,5.745,0.3,57.45
21.0,0.24,5.77,0.24,57.7
21.1,0.165,5.795,0.165,57.95
21.201,0.12,5.825,0.12,58.25
21.301,0.075,5.85,0.075,58.5
21.401,0.045,5.875,0.045,58.75
21.5,0.015,5.905,0.015,59.05
21.601,0.0,5.93,0.0,59.3
21.701,0.0,5.955,0.0,59.55
21.801,-0.015,5.985,-0.015,59.85
21.9,-0.03,6.01,-0.03,60.1
22.001,-0.045,6.04,-0.045,60.4
22.1,-0.06,6.065,-0.06,60.65
22.199,-0.06,6.09,-0.06,60.9
22.3,-0.075,6.12,-0.075,61.2
22.4,-0.075,6.145,-0.075,61.45
22.5,-0.075,6.17,-0.075,61.7
22.6,-0.075,6.2,-0.075,62.0
22.701,-0.075,6.225,-0.075,62.25
22.801,-0.09,6.25,-0.09,62.5
22.901,-0.09,6.28,-0.09,62.8
22.999,-0.09,6.305,-0.09,63.05
23.099,-0.09,6.335,-0.09,63.35
23.2,-0.09,6.36,-0.09,63.6
23.3,-0.075,6.385,-0.075,63.85
23.4,-0.075,6.415,-0.075,64.15
23.5,-0.075,6.44,-0.075,64.4
23.6,-0.075,6.465,-0.075,64.65
23.7,-0.075,6.495,-0.075,64.95
23.801,-0.06,6.52,-0.06,65.2
23.901,-0.06,6.55,-0.06,65.5
24.001,-0.045,6.575,-0.045,65.75
24.101,-0.045,6.6,-0.045,66.0
24.2,-0.03,6.625,-0.03,66.25
24.3,-0.015,6.655,-0.015,66.55
24.4,0.0,6.68,0.0,66.8
24.501,0.0,6.71,0.0,67.1
24.6,0.015,6.735,0.015,67.35
24.7,0.045,6.76,0.045,67.6
24.8,0.075,6.785,0.075,67.85
24.902,0.105,6.815,0.105,68.15
25.001,0.135,6.84,0.135,68.4
25.1,0.18,6.865,0.18,68.65
25.199,0.24,6.89,0.24,68.9
25.3,0.285,6.92,0.285,69.2
25.4,0.345,6.945,0.345,69.45
25.501,0.405,6.975,0.405,69.75
25.6,0.45,7.0,0.45,70.0
25.7,0.495,7.025,0.495,70.25
25.8,0.54,7.055,0.54,70.55
25.9,0.6,7.08,0.6,70.8
26.0,0.66,7.105,0.66,71.05
26.101,0.72,7.135,0.72,71.35
26.201,0.795,7.16,0.795,71.6
26.3,0.87,7.185,0.87,71.85
26.401,0.945,7.21,0.945,72.1
26.5,1.005,7.24,1.005,72.4
26.6,1.08,7.265,1.08,72.65
26.7,1.17,7.29,1.17,72.9
26.8,1.275,7.32,1.275,73.2
26.901,1.365,7.345,1.365,73.45
27.0,1.44,7.37,1.44,73.7
27.1,1.515,7.395,1.515,73.95
27.201,1.605,7.425,1.605,74.25
27.3,1.68,7.45,1.68,74.5
27.401,1.77,7.48,1.77,74.8
27.501,1.845,7.505,1.845,75.05
27.6,1.95,7.53,1.95,75.3
27.7,2.055,7.555,2.055,75.55
27.801,2.19,7.585,2.19,75.85
27.9,2.325,7.61,2.325,76.1
28.001,2.46,7.635,2.46,76.35
28.101,2.595,7.66,2.595,76.6
28.2,2.73,7.685,2.73,76.85
28.3,2.88,7.715,2.88,77.15
28.4,3.045,7.74,3.045,77.4
28.501,3.255,7.765,3.255,77.65
28.601,3.495,7.795,3.495,77.95
28.7,3.735,7.82,3.735,78.2
28.799,3.975,7.845,3.975,78.45
28.9,4.23,7.87,4.23,78.7
29.001,4.5,7.895,4.5,78.95
29.3,4.86,7.915,4.86,79.15
29.401,4.86,7.915,4.86,79.15
29.5,4.86,7.915,4.86,79.15
29.601,4.875,7.915,4.875,79.15
29.701,4.875,7.915,4.875,79.15
29.801,4.89,7.915,4.89,79.15
29.9,4.89,7.915,4.89,79.15
30.0,4.905,7.915,4.905,79.15
30.1,4.905,7.915,4.905,79.15
30.2,4.905,7.915,4.905,79.15
30.299,4.92,7.915,4.92,79.15
30.401,4.935,7.915,4.935,79.15
30.5,4.935,7.915,4.935,79.15
30.6,4.95,7.915,4.95,79.15
30.7,4.95,7.915,4.95,79.15
30.8,4.95,7.915,4.95,79.15
30.901,4.965,7.915,4.965,79.15
31.0,4.965,7.915,4.965,79.15
31.1,4.965,7.915,4.965,79.15
31.201,4.965,7.915,4.965,79.15
31.3,4.98,7.915,4.98,79.15
31.4,4.98,7.915,4.98,79.15
31.499,4.98,7.915,4.98,79.15
31.6,4.995,7.915,4.995,79.15
31.701,4.995,7.915,4.995,79.15
31.8,4.995,7.915,4.995,79.15
31.9,4.995,7.915,4.995,79.15
32.0,5.01,7.915,5.01,79.15
32.1,4.995,7.915,4.995,79.15
32.199,4.995,7.915,4.995,79.15
32.3,4.995,7.915,4.995,79.15
32.4,4.995,7.915,4.995,79.15
32.501,4.995,7.915,4.995,79.15
32.6,4.995,7.915,4.995,79.15
32.7,4.98,7.915,4.98,79.15
32.8,4.995,7.915,4.995,79.15
32.901,4.995,7.915,4.995,79.15
33.0,4.98,7.915,4.98,79.15
33.1,4.98,7.915,4.98,79.15
33.2,4.98,7.915,4.98,79.15
33.3,4.965,7.915,4.965,79.15
33.401,4.965,7.915,4.965,79.15
33.499,4.965,7.915,4.965,79.15
33.6,4.95,7.915,4.95,79.15
33.7,4.95,7.915,4.95,79.15
33.8,4.935,7.915,4.935,79.15
33.901,4.935,7.915,4.935,79.15
34.0,4.92,7.915,4.92,79.15
34.1,4.92,7.915,4.92,79.15
34.2,4.905,7.915,4.905,79.15
34.299,4.905,7.915,4.905,79.15
34.4,4.89,7.915,4.89,79.15
34.5,4.89,7.915,4.89,79.15
34.6,4.875,7.915,4.875,79.15
34.7,4.86,7.915,4.86,79.15
34.801,4.845,7.915,4.845,79.15
34.901,4.845,7.915,4.845,79.15
35.001,4.845,7.915,4.845,79.15
35.1,4.83,7.915,4.83,79.15
35.2,4.815,7.915,4.815,79.15
35.301,4.815,7.915,4.815,79.15
35.4,4.8,7.915,4.8,79.15
35.5,4.8,7.915,4.8,79.15
35.6,4.785,7.915,4.785,79.15
35.699,4.77,7.915,4.77,79.15
35.801,4.77,7.915,4.77,79.15
35.901,4.755,7.915,4.755,79.15
36.001,4.755,7.915,4.755,79.15
36.1,4.74,7.915,4.74,79.15
36.2,4.725,7.915,4.725,79.15
36.3,4.725,7.915,4.725,79.15
36.401,4.725,7.915,4.725,79.15
36.5,4.71,7.915,4.71,79.15
36.6,4.71,7.915,4.71,79.15
36.701,4.71,7.915,4.71,79.15
36.8,4.695,7.91,4.695,79.1
36.901,4.695,7.915,4.695,79.15
37.0,4.695,7.915,4.695,79.15
37.1,4.68,7.915,4.68,79.15
37.2,4.68,7.915,4.68,79.15
37.3,4.68,7.915,4.68,79.15
37.4,4.695,7.915,4.695,79.15
37.5,4.68,7.915,4.68,79.15
37.6,4.68,7.915,4.68,79.15
37.7,4.68,7.915,4.68,79.15
37.801,4.68,7.915,4.68,79.15
37.9,4.68,7.915,4.68,79.15
38.0,4.68,7.915,4.68,79.15
38.1,4.68,7.915,4.68,79.15
38.201,4.695,7.915,4.695,79.15
38.3,4.695,7.915,4.695,79.15
38.4,4.695,7.915,4.695,79.15
38.5,4.695,7.915,4.695,79.15
38.6,4.695,7.915,4.695,79.15
38.7,4.695,7.915,4.695,79.15
38.8,4.71,7.915,4.71,79.15
38.899,4.725,7.915,4.725,79.15
39.0,4.725,7.915,4.725,79.15
39.101,4.725,7.915,4.725,79.15
39.2,4.74,7.915,4.74,79.15
39.3,4.74,7.915,4.74,79.15
39.4,4.755,7.915,4.755,79.15
39.501,4.755,7.915,4.755,79.15
39.601,4.755,7.915,4.755,79.15
39.7,4.77,7.915,4.77,79.15
39.801,4.785,7.915,4.785,79.15
