Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
0.501,0.39,0.105,0.39,1.05
0.601,0.405,0.135,0.405,1.35
0.701,0.405,0.16,0.405,1.6
0.8,0.42,0.19,0.42,1.9
0.901,0.42,0.22,0.42,2.2
1.001,0.435,0.25,0.435,2.5
1.1,0.435,0.275,0.435,2.75
1.2,0.435,0.305,0.435,3.05
1.3,0.45,0.335,0.45,3.35
1.401,0.45,0.36,0.45,3.6
1.5,0.45,0.39,0.45,3.9
1.599,0.465,0.42,0.465,4.2
1.7,0.465,0.45,0.465,4.5
1.801,0.48,0.475,0.48,4.75
1.901,0.48,0.505,0.48,5.05
2.0,0.48,0.535,0.48,5.35
2.1,0.495,0.565,0.495,5.65
2.2,0.495,0.59,0.495,5.9
2.301,0.495,0.62,0.495,6.2
2.4,0.51,0.65,0.51,6.5
2.501,0.51,0.675,0.51,6.75
2.6,0.51,0.705,0.51,7.05
2.7,0.525,0.735,0.525,7.35
2.8,0.525,0.765,0.525,7.65
2.901,0.54,0.79,0.54,7.9
3.0,0.54,0.82,0.54,8.2
3.1,0.54,0.85,0.54,8.5
3.199,0.555,0.875,0.555,8.75
3.3,0.555,0.905,0.555,9.05
3.4,0.555,0.935,0.555,9.35
3.501,0.555,0.96,0.555,9.6
3.601,0.57,0.99,0.57,9.9
3.7,0.57,1.02,0.57,10.2
3.8,0.57,1.045,0.57,10.45
3.9,0.585,1.075,0.585,10.75
4.0,0.585,1.105,0.585,11.05
4.101,0.6,1.13,0.6,11.3
4.2,0.6,1.16,0.6,11.6
4.3,0.6,1.19,0.6,11.9
4.401,0.615,1.215,0.615,12.15
4.5,0.615,1.245,0.615,12.45
4.6,0.615,1.275,0.615,12.75
4.701,0.63,1.3,0.63,13.0
4.8,0.63,1.33,0.63,13.3
4.9,0.63,1.355,0.63,13.55
5.001,0.645,1.385,0.645,13.85
5.1,0.645,1.415,0.645,14.15
5.2,0.645,1.44,0.645,14.4
5.3,0.66,1.47,0.66,14.7
5.401,0.66,1.5,0.66,15.0
5.5,0.675,1.525,0.675,15.25
5.6,0.675,1.555,0.675,15.55
5.7,0.675,1.585,0.675,15.85
5.8,0.69,1.61,0.69,16.1
5.9,0.69,1.64,0.69,16.4
6.0,0.69,1.67,0.69,16.7
6.1,0.69,1.695,0.69,16.95
6.2,0.705,1.725,0.705,17.25
6.3,0.705,1.755,0.705,17.55
6.4,0.69,1.78,0.69,17.8
6.501,0.675,1.81,0.675,18.1
6.601,0.645,1.835,0.645,18.35
6.699,0.615,1.865,0.615,18.65
6.8,0.6,1.895,0.6,18.95
6.9,0.57,1.92,0.57,19.2
7.0,0.54,1.95,0.54,19.5
7.1,0.51,1.975,0.51,19.75
7.2,0.48,2.005,0.48,20.05
7.301,0.45,2.035,0.45,20.35
7.401,0.435,2.06,0.435,20.6
7.501,0.42,2.09,0.42,20.9
7.601,0.405,2.115,0.405,21.15
7.701,0.39,2.145,0.39,21.45
7.8,0.39,2.175,0.39,21.75
7.9,0.375,2.2,0.375,22.0
8.0,0.375,2.23,0.375,22.3
8.099,0.375,2.255,0.375,22.55
8.201,0.375,2.285,0.375,22.85
8.299,0.435,2.315,0.435,23.15
8.399,0.45,2.34,0.45,23.4
8.5,0.45,2.37,0.45,23.7
8.6,0.405,2.4,0.405,24.0
8.701,0.42,2.425,0.42,24.25
8.801,0.48,2.455,0.48,24.55
8.901,0.54,2.48,0.54,24.8
9.0,0.675,2.51,0.675,25.1
9.099,0.735,2.54,0.735,25.4
9.2,0.795,2.565,0.795,25.65
9.3,0.84,2.59,0.84,25.9
9.401,0.915,2.62,0.915,26.2
9.5,0.975,2.65,0.975,26.5
9.599,1.05,2.675,1.05,26.75
9.7,1.14,2.705,1.14,27.05
9.8,1.245,2.73,1.245,27.3
9.9,1.32,2.76,1.32,27.6
10.0,1.41,2.79,1.41,27.9
10.101,1.5,2.815,1.5,28.15
10.2,1.575,2.845,1.575,28.45
10.301,1.65,2.87,1.65,28.7
10.401,1.725,2.9,1.725,29.0
10.5,1.785,2.925,1.785,29.25
10.6,1.845,2.955,1.845,29.55
10.701,1.905,2.985,1.905,29.85
10.801,1.95,3.01,1.95,30.1
10.9,1.995,3.04,1.995,30.4
11.0,2.04,3.065,2.04,30.65
11.1,2.07,3.095,2.07,30.95
11.2,2.115,3.12,2.115,31.2
11.3,2.13,3.15,2.13,31.5
11.401,2.16,3.175,2.16,31.75
11.5,2.175,3.205,2.175,32.05
11.601,2.19,3.235,2.19,32.35
11.701,2.205,3.26,2.205,32.6
11.8,2.205,3.29,2.205,32.9
11.9,2.22,3.315,2.22,33.15
12.0,2.22,3.345,2.22,33.45
12.1,2.205,3.37,2.205,33.7
12.201,2.205,3.4,2.205,34.0
12.299,2.205,3.425,2.205,34.25
12.4,2.19,3.455,2.19,34.55
12.499,2.16,3.48,2.16,34.8
12.601,2.07,3.51,2.07,35.1
12.701,1.905,3.535,1.905,35.35
12.8,1.74,3.565,1.74,35.65
12.9,1.605,3.595,1.605,35.95
13.001,1.47,3.62,1.47,36.2
13.101,1.32,3.65,1.32,36.5
13.201,1.17,3.675,1.17,36.75
13.301,1.02,3.705,1.02,37.05
13.401,0.87,3.73,0.87,37.3
13.5,0.765,3.76,0.765,37.6
13.601,0.675,3.785,0.675,37.85
13.701,0.615,3.815,0.615,38.15
13.801,0.555,3.84,0.555,38.4
13.901,0.48,3.87,0.48,38.7
14.0,0.435,3.895,0.435,38.95
14.1,0.375,3.925,0.375,39.25
14.2,0.345,3.95,0.345,39.5
14.299,0.3,3.98,0.3,39.8
14.401,0.27,4.005,0.27,40.05
14.499,0.24,4.035,0.24,40.35
14.6,0.225,4.06,0.225,40.6
14.7,0.21,4.09,0.21,40.9
14.8,0.21,4.115,0.21,41.15
14.901,0.225,4.145,0.225,41.45
15.0,0.27,4.17,0.27,41.7
15.1,0.285,4.2,0.285,42.0
15.2,0.3,4.225,0.3,42.25
15.3,0.315,4.255,0.315,42.55
15.4,0.33,4.285,0.33,42.85
15.5,0.36,4.31,0.36,43.1
15.6,0.405,4.335,0.405,43.35
15.7,0.465,4.365,0.465,43.65
15.8,0.51,4.39,0.51,43.9
15.9,0.57,4.42,0.57,44.2
16.0,0.615,4.445,0.615,44.45
16.099,0.675,4.475,0.675,44.75
16.2,0.75,4.5,0.75,45.0
16.299,0.84,4.53,0.84,45.3
16.4,0.945,4.555,0.945,45.55
16.5,1.065,4.585,1.065,45.85
16.6,1.185,4.61,1.185,46.1
16.699,1.305,4.64,1.305,46.4
16.8,1.425,4.665,1.425,46.65
16.901,1.545,4.695,1.545,46.95
17.001,1.665,4.72,1.665,47.2
17.1,1.77,4.75,1.77,47.5
17.2,1.89,4.775,1.89,47.75
17.3,2.01,4.805,2.01,48.05
17.401,2.115,4.83,2.115,48.3
17.499,2.22,4.855,2.22,48.55
17.6,2.325,4.885,2.325,48.85
17.7,2.415,4.91,2.415,49.1
17.801,2.52,4.94,2.52,49.4
17.9,2.61,4.965,2.61,49.65
18.001,2.7,4.995,2.7,49.95
18.1,2.79,5.02,2.79,50.2
18.2,2.865,5.05,2.865,50.5
18.3,2.955,5.075,2.955,50.75
18.4,3.03,5.105,3.03,51.05
18.5,3.105,5.13,3.105,51.3
18.601,3.18,5.155,3.18,51.55
18.7,3.225,5.185,3.225,51.85
18.799,3.24,5.21,3.24,52.1
18.9,3.225,5.24,3.225,52.4
19.0,3.15,5.265,3.15,52.65
19.101,3.105,5.295,3.105,52.95
19.201,3.06,5.32,3.06,53.2
19.301,3.015,5.35,3.015,53.5
19.4,2.955,5.375,2.955,53.75
19.501,2.88,5.405,2.88,54.05
19.6,2.76,5.43,2.76,54.3
19.7,2.64,5.455,2.64,54.55
19.8,2.52,5.485,2.52,54.85
19.9,2.415,5.51,2.415,55.1
20.001,2.31,5.54,2.31,55.4
20.1,2.205,5.565,2.205,55.65
20.2,2.085,5.595,2.085,55.95
20.3,1.95,5.62,1.95,56.2
20.399,1.815,5.645,1.815,56.45
20.5,1.695,5.675,1.695,56.75
20.599,1.575,5.7,1.575,57.0
20.699,1.44,5.73,1.44,57.3
20.8,1.32,5.755,1.32,57.55
20.9,1.23,5.78,1.23,57.8
21.0,1.17,5.81,1.17,58.1
21.1,1.125,5.835,1.125,58.35
21.2,1.065,5.865,1.065,58.65
21.301,1.005,5.895,1.005,58.95
21.4,0.93,5.92,0.93,59.2
21.5,0.885,5.945,0.885,59.45
21.6,0.855,5.97,0.855,59.7
21.701,0.84,6.0,0.84,60.0
21.8,0.855,6.025,0.855,60.25
21.9,0.855,6.055,0.855,60.55
22.001,0.84,6.08,0.84,60.8
22.101,0.84,6.11,0.84,61.1
22.2,0.84,6.135,0.84,61.35
22.3,0.84,6.16,0.84,61.6
22.401,0.87,6.19,0.87,61.9
22.5,0.9,6.215,0.9,62.15
22.6,0.93,6.24,0.93,62.4
22.699,0.96,6.27,0.96,62.7
22.8,0.99,6.295,0.99,62.95
22.9,1.05,6.325,1.05,63.25
23.001,1.11,6.35,1.11,63.5
23.1,1.2,6.38,1.2,63.8
23.2,1.29,6.405,1.29,64.05
23.301,1.38,6.43,1.38,64.3
23.401,1.485,6.46,1.485,64.6
23.501,1.59,6.485,1.59,64.85
23.601,1.71,6.515,1.71,65.15
23.701,1.83,6.54,1.83,65.4
