Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
2.5,0.675,0.73,0.675,7.3
2.6,0.765,0.755,0.765,7.55
2.7,0.84,0.785,0.84,7.85
2.8,0.9,0.81,0.9,8.1
2.899,0.96,0.84,0.96,8.4
3.0,1.02,0.87,1.02,8.7
3.1,1.095,0.9,1.095,9.0
3.201,1.17,0.925,1.17,9.25
3.299,1.23,0.955,1.23,9.55
3.4,1.305,0.98,1.305,9.8
3.5,1.38,1.01,1.38,10.1
3.601,1.455,1.04,1.455,10.4
3.7,1.53,1.065,1.53,10.65
3.801,1.605,1.095,1.605,10.95
3.901,1.665,1.125,1.665,11.25
4.0,1.725,1.15,1.725,11.5
4.101,1.785,1.18,1.785,11.8
4.201,1.83,1.21,1.83,12.1
4.3,1.875,1.235,1.875,12.35
4.4,1.92,1.265,1.92,12.65
4.501,1.95,1.29,1.95,12.9
4.601,1.98,1.32,1.98,13.2
4.7,1.995,1.35,1.995,13.5
4.8,2.01,1.375,2.01,13.75
4.9,2.025,1.405,2.025,14.05
5.0,2.04,1.435,2.04,14.35
5.1,2.04,1.46,2.04,14.6
5.2,2.04,1.49,2.04,14.9
5.3,2.04,1.52,2.04,15.2
5.4,2.04,1.545,2.04,15.45
5.5,2.04,1.575,2.04,15.75
5.6,2.055,1.6,2.055,16.0
5.7,2.04,1.63,2.04,16.3
5.8,2.055,1.66,2.055,16.6
5.899,2.055,1.685,2.055,16.85
6.001,2.055,1.715,2.055,17.15
6.1,1.965,1.745,1.965,17.45
6.2,1.665,1.77,1.665,17.7
6.3,1.26,1.8,1.26,18.0
6.401,0.96,1.825,0.96,18.25
6.5,0.765,1.855,0.765,18.55
6.6,0.645,1.88,0.645,18.8
6.7,0.525,1.91,0.525,19.1
6.8,0.42,1.94,0.42,19.4
6.901,0.33,1.965,0.33,19.65
7.0,0.27,1.995,0.27,19.95
7.1,0.225,2.025,0.225,20.25
7.199,0.21,2.05,0.21,20.5
7.301,0.195,2.08,0.195,20.8
7.401,0.18,2.105,0.18,21.05
7.499,0.195,2.135,0.195,21.35
7.6,0.195,2.16,0.195,21.6
7.701,0.21,2.19,0.21,21.9
7.8,0.24,2.22,0.24,22.2
7.901,0.27,2.245,0.27,22.45
8.0,0.3,2.275,0.3,22.75
8.101,0.33,2.3,0.33,23.0
8.2,0.375,2.33,0.375,23.3
8.3,0.45,2.355,0.45,23.55
8.401,0.6,2.385,0.6,23.85
8.5,0.855,2.415,0.855,24.15
8.6,1.245,2.44,1.245,24.4
8.7,1.245,2.465,1.245,24.65
8.801,1.98,2.495,1.98,24.95
8.901,2.25,2.525,2.25,25.25
9.0,2.115,2.55,2.115,25.5
9.1,2.37,2.575,2.37,25.75
9.201,2.685,2.605,2.685,26.05
9.3,3.0,2.635,3.0,26.35
9.401,3.27,2.665,3.27,26.65
9.501,3.525,2.69,3.525,26.9
9.6,3.765,2.715,3.765,27.15
