Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
0.3,0.36,0.1,0.36,1.0
0.4,0.36,0.125,0.36,1.25
0.5,0.36,0.155,0.36,1.55
0.601,0.36,0.185,0.36,1.85
0.699,0.36,0.21,0.36,2.1
0.8,0.36,0.24,0.36,2.4
0.901,0.36,0.27,0.36,2.7
1.001,0.36,0.3,0.36,3.0
1.101,0.36,0.325,0.36,3.25
1.201,0.345,0.355,0.345,3.55
1.3,0.345,0.385,0.345,3.85
1.4,0.345,0.415,0.345,4.15
1.501,0.345,0.44,0.345,4.4
1.6,0.345,0.47,0.345,4.7
1.7,0.36,0.495,0.36,4.95
1.801,0.36,0.525,0.36,5.25
1.901,0.36,0.555,0.36,5.55
2.001,0.36,0.58,0.36,5.8
2.101,0.36,0.61,0.36,6.1
2.2,0.375,0.635,0.375,6.35
2.301,0.375,0.665,0.375,6.65
2.4,0.375,0.695,0.375,6.95
2.5,0.39,0.725,0.39,7.25
2.601,0.39,0.75,0.39,7.5
2.701,0.405,0.78,0.405,7.8
2.8,0.405,0.805,0.405,8.05
2.9,0.42,0.835,0.42,8.35
3.001,0.435,0.865,0.435,8.65
3.1,0.435,0.895,0.435,8.95
3.201,0.45,0.92,0.45,9.2
3.3,0.465,0.95,0.465,9.5
3.4,0.465,0.975,0.465,9.75
3.5,0.48,1.005,0.48,10.05
3.601,0.495,1.035,0.495,10.35
3.701,0.495,1.06,0.495,10.6
3.8,0.51,1.09,0.51,10.9
3.9,0.525,1.12,0.525,11.2
4.001,0.525,1.145,0.525,11.45
4.1,0.54,1.175,0.54,11.75
4.201,0.555,1.2,0.555,12.0
4.3,0.57,1.23,0.57,12.3
4.4,0.57,1.26,0.57,12.6
4.5,0.585,1.285,0.585,12.85
4.601,0.6,1.315,0.6,13.15
4.7,0.615,1.34,0.615,13.4
4.8,0.63,1.37,0.63,13.7
4.9,0.645,1.4,0.645,14.0
5.001,0.645,1.43,0.645,14.3
5.1,0.66,1.455,0.66,14.55
5.2,0.675,1.485,0.675,14.85
5.3,0.69,1.51,0.69,15.1
5.4,0.705,1.54,0.705,15.4
5.5,0.72,1.565,0.72,15.65
5.6,0.72,1.595,0.72,15.95
5.701,0.735,1.625,0.735,16.25
5.801,0.75,1.65,0.75,16.5
5.9,0.765,1.68,0.765,16.8
6.001,0.765,1.705,0.765,17.05
6.1,0.78,1.735,0.78,17.35
6.199,0.78,1.76,0.78,17.6
6.3,0.765,1.79,0.765,17.9
6.401,0.735,1.82,0.735,18.2
6.5,0.705,1.845,0.705,18.45
6.6,0.675,1.875,0.675,18.75
6.7,0.645,1.9,0.645,19.0
6.8,0.615,1.93,0.615,19.3
6.9,0.585,1.96,0.585,19.6
7.0,0.54,1.985,0.54,19.85
7.1,0.51,2.015,0.51,20.15
7.199,0.48,2.04,0.48,20.4
7.3,0.45,2.07,0.45,20.7
7.4,0.435,2.095,0.435,20.95
7.5,0.42,2.125,0.42,21.25
7.6,0.405,2.155,0.405,21.55
7.7,0.39,2.18,0.39,21.8
7.8,0.375,2.21,0.375,22.1
7.901,0.375,2.24,0.375,22.4
8.0,0.375,2.265,0.375,22.65
8.1,0.375,2.29,0.375,22.9
8.2,0.375,2.32,0.375,23.2
8.3,0.375,2.35,0.375,23.5
8.4,0.375,2.375,0.375,23.75
8.5,0.39,2.4,0.39,24.0
8.601,0.39,2.43,0.39,24.3
8.7,0.39,2.46,0.39,24.6
8.801,0.405,2.485,0.405,24.85
8.9,0.435,2.515,0.435,25.15
9.001,0.495,2.54,0.495,25.4
9.101,0.57,2.57,0.57,25.7
9.2,0.63,2.595,0.63,25.95
9.301,0.675,2.625,0.675,26.25
9.401,0.72,2.655,0.72,26.55
9.501,0.765,2.68,0.765,26.8
9.6,0.81,2.71,0.81,27.1
9.7,0.885,2.735,0.885,27.35
9.799,0.99,2.765,0.99,27.65
9.9,1.08,2.79,1.08,27.9
10.001,1.17,2.82,1.17,28.2
10.1,1.245,2.845,1.245,28.45
10.201,1.32,2.875,1.32,28.75
10.3,1.395,2.9,1.395,29.0
10.4,1.47,2.925,1.47,29.25
10.5,1.53,2.955,1.53,29.55
