Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;1,245;0,025;1,245;0,25
0,1;0,33;0,055;0,33;0,55
0,199;0,33;0,08;0,33;0,8
0,301;0,345;0,11;0,345;1,1
0,401;0,345;0,14;0,345;1,4
0,501;0,345;0,165;0,345;1,65
0,6;0,345;0,195;0,345;1,95
0,7;0,345;0,225;0,345;2,25
0,801;0,345;0,255;0,345;2,55
0,9;0,345;0,28;0,345;2,8
1,001;0,345;0,31;0,345;3,1
1,1;0,345;0,335;0,345;3,35
1,2;0,345;0,365;0,345;3,65
1,299;0,36;0,395;0,36;3,95
1,4;0,36;0,425;0,36;4,25
1,5;0,36;0,455;0,36;4,55
1,599;0,36;0,48;0,36;4,8
1,699;0,36;0,51;0,36;5,1
1,801;0,36;0,54;0,36;5,4
1,9;0,375;0,565;0,375;5,65
2,001;0,375;0,595;0,375;5,95
2,099;0,375;0,625;0,375;6,25
2,2;0,375;0,65;0,375;6,5
2,301;0,39;0,68;0,39;6,8
2,399;0,39;0,71;0,39;7,1
2,5;0,39;0,735;0,39;7,35
2,6;0,405;0,765;0,405;7,65
2,7;0,405;0,795;0,405;7,95
2,8;0,405;0,82;0,405;8,2
2,9;0,42;0,85;0,42;8,5
3;0,42;0,88;0,42;8,8
3,1;0,42;0,905;0,42;9,05
3,199;0,435;0,935;0,435;9,35
3,3;0,435;0,96;0,435;9,6
3,401;0,45;0,99;0,45;9,9
3,499;0,45;1,02;0,45;10,2
3,6;0,465;1,045;0,465;10,45
3,7;0,465;1,075;0,465;10,75
3,8;0,48;1,105;0,48;11,05
3,9;0,48;1,13;0,48;11,3
4;0,495;1,16;0,495;11,6
4,1;0,51;1,19;0,51;11,9
4,2;0,51;1,215;0,51;12,15
4,3;0,525;1,245;0,525;12,45
4,4;0,525;1,275;0,525;12,75
4,5;0,54;1,3;0,54;13
4,601;0,555;1,33;0,555;13,3
4,7;0,57;1,36;0,57;13,6
4,801;0,57;1,385;0,57;13,85
4,9;0,585;1,415;0,585;14,15
5;0,6;1,44;0,6;14,4
5,1;0,615;1,47;0,615;14,7
5,2;0,63;1,5;0,63;15
5,3;0,645;1,525;0,645;15,25
5,399;0,66;1,555;0,66;15,55
5,5;0,66;1,585;0,66;15,85
5,6;0,675;1,61;0,675;16,1
5,7;0,69;1,64;0,69;16,4
5,8;0,705;1,665;0,705;16,65
5,9;0,72;1,695;0,72;16,95
5,999;0,735;1,725;0,735;17,25
6,099;0,75;1,75;0,75;17,5
6,199;0,765;1,775;0,765;17,75
6,3;0,75;1,805;0,75;18,05
6,399;0,72;1,835;0,72;18,35
6,5;0,69;1,865;0,69;18,65
6,6;0,675;1,89;0,675;18,9
6,699;0,645;1,92;0,645;19,2
6,801;0,63;1,945;0,63;19,45
6,9;0,6;1,975;0,6;19,75
7;0,585;2;0,585;20
7,099;0,57;2,03;0,57;20,3
7,199;0,555;2,06;0,555;20,6
7,299;0,555;2,085;0,555;20,85
7,4;0,555;2,115;0,555;21,15
7,5;0,555;2,14;0,555;21,4
