Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;0,405;0,005;0,405;0,05
0,1;0,375;0,035;0,375;0,35
0,201;0,405;0,065;0,405;0,65
0,3;0,405;0,09;0,405;0,9
0,4;0,405;0,12;0,405;1,2
0,501;0,405;0,15;0,405;1,5
0,6;0,405;0,18;0,405;1,8
0,7;0,405;0,205;0,405;2,05
0,801;0,405;0,235;0,405;2,35
0,9;0,405;0,265;0,405;2,65
1;0,39;0,295;0,39;2,95
1,099;0,39;0,32;0,39;3,2
1,2;0,39;0,35;0,39;3,5
1,3;0,39;0,38;0,39;3,8
1,4;0,39;0,41;0,39;4,1
1,5;0,375;0,435;0,375;4,35
1,599;0,375;0,465;0,375;4,65
1,7;0,375;0,495;0,375;4,95
1,8;0,375;0,525;0,375;5,25
1,901;0,375;0,55;0,375;5,5
2;0,375;0,58;0,375;5,8
2,1;0,375;0,61;0,375;6,1
2,2;0,375;0,635;0,375;6,35
2,3;0,375;0,665;0,375;6,65
2,4;0,375;0,695;0,375;6,95
2,499;0,375;0,725;0,375;7,25
2,6;0,375;0,75;0,375;7,5
2,7;0,375;0,78;0,375;7,8
2,8;0,39;0,81;0,39;8,1
2,9;0,39;0,835;0,39;8,35
3;0,39;0,865;0,39;8,65
3,1;0,405;0,895;0,405;8,95
3,2;0,405;0,925;0,405;9,25
3,3;0,405;0,95;0,405;9,5
3,4;0,42;0,98;0,42;9,8
3,499;0,435;1,005;0,435;10,05
3,599;0,435;1,035;0,435;10,35
3,7;0,45;1,065;0,45;10,65
3,8;0,45;1,095;0,45;10,95
3,9;0,465;1,12;0,465;11,2
4;0,48;1,15;0,48;11,5
4,1;0,495;1,175;0,495;11,75
4,199;0,495;1,205;0,495;12,05
4,3;0,51;1,235;0,51;12,35
4,4;0,525;1,265;0,525;12,65
4,5;0,525;1,29;0,525;12,9
4,6;0,54;1,32;0,54;13,2
4,7;0,555;1,35;0,555;13,5
4,8;0,57;1,375;0,57;13,75
4,899;0,585;1,405;0,585;14,05
4,999;0,585;1,435;0,585;14,35
5,099;0,6;1,46;0,6;14,6
5,2;0,615;1,49;0,615;14,9
5,299;0,63;1,515;0,63;15,15
5,399;0,645;1,545;0,645;15,45
5,5;0,645;1,575;0,645;15,75
5,6;0,66;1,6;0,66;16
5,699;0,675;1,63;0,675;16,3
5,8;0,69;1,66;0,69;16,6
5,9;0,705;1,685;0,705;16,85
