Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
12,3;2,28;3,455;2,28;34,55
12,399;2,25;3,48;2,25;34,8
12,5;2,16;3,51;2,16;35,1
12,6;1,995;3,535;1,995;35,35
12,7;1,815;3,565;1,815;35,65
12,8;1,68;3,595;1,68;35,95
12,901;1,53;3,62;1,53;36,2
13;1,38;3,65;1,38;36,5
13,1;1,23;3,675;1,23;36,75
13,2;1,05;3,7;1,05;37
13,3;0,9;3,73;0,9;37,3
13,4;0,78;3,76;0,78;37,6
13,499;0,69;3,785;0,69;37,85
13,6;0,615;3,815;0,615;38,15
13,7;0,555;3,84;0,555;38,4
13,8;0,48;3,87;0,48;38,7
13,9;0,42;3,895;0,42;38,95
14;0,375;3,925;0,375;39,25
14,1;0,33;3,955;0,33;39,55
14,201;0,285;3,98;0,285;39,8
14,3;0,255;4,005;0,255;40,05
14,4;0,225;4,035;0,225;40,35
14,5;0,195;4,065;0,195;40,65
14,6;0,18;4,09;0,18;40,9
14,7;0,18;4,12;0,18;41,2
14,8;0,21;4,145;0,21;41,45
14,9;0,24;4,175;0,24;41,75
14,999;0,27;4,2;0,27;42
15,1;0,285;4,23;0,285;42,3
15,2;0,3;4,255;0,3;42,55
15,299;0,315;4,285;0,315;42,85
15,4;0,345;4,31;0,345;43,1
15,5;0,405;4,34;0,405;43,4
15,6;0,45;4,365;0,45;43,65
15,7;0,51;4,395;0,51;43,95
15,8;0,555;4,42;0,555;44,2
15,899;0,615;4,45;0,615;44,5
15,999;0,675;4,475;0,675;44,75
16,1;0,75;4,505;0,75;45,05
16,2;0,855;4,53;0,855;45,3
16,3;0,96;4,56;0,96;45,6
16,4;1,08;4,59;1,08;45,9
16,5;1,215;4,615;1,215;46,15
16,6;1,335;4,64;1,335;46,4
16,699;1,455;4,67;1,455;46,7
16,8;1,575;4,695;1,575;46,95
16,899;1,71;4,725;1,71;47,25
16,999;1,83;4,75;1,83;47,5
17,1;1,95;4,78;1,95;47,8
17,2;2,055;4,805;2,055;48,05
17,301;2,175;4,835;2,175;48,35
17,4;2,28;4,86;2,28;48,6
17,5;2,4;4,89;2,4;48,9
17,599;2,505;4,915;2,505;49,15
17,7;2,595;4,945;2,595;49,45
17,8;2,7;4,97;2,7;49,7
17,9;2,79;5;2,79;50
18;2,895;5,025;2,895;50,25
18,099;2,97;5,055;2,97;50,55
18,199;3,06;5,08;3,06;50,8
18,3;3,135;5,11;3,135;51,1
18,4;3,225;5,135;3,225;51,35
18,5;3,3;5,16;3,3;51,6
18,6;3,345;5,19;3,345;51,9
18,7;3,36;5,215;3,36;52,15
18,801;3,33;5,245;3,33;52,45
18,901;3,27;5,27;3,27;52,7
19,001;3,21;5,3;3,21;53
19,1;3,18;5,325;3,18;53,25
19,2;3,135;5,355;3,135;53,55
19,299;3,06;5,38;3,06;53,8
19,4;2,97;5,41;2,97;54,1
19,501;2,865;5,435;2,865;54,35
19,6;2,73;5,46;2,73;54,6
19,7;2,61;5,49;2,61;54,9
19,801;2,49;5,515;2,49;55,15
19,901;2,385;5,545;2,385;55,45
20;2,265;5,57;2,265;55,7
20,1;2,145;5,6;2,145;56
20,199;2,01;5,625;2,01;56,25
20,3;1,875;5,655;1,875;56,55
20,4;1,74;5,68;1,74;56,8
20,5;1,62;5,705;1,62;57,05
20,6;1,485;5,735;1,485;57,35
20,699;1,365;5,76;1,365;57,6
20,8;1,275;5,79;1,275;57,9
20,9;1,215;5,815;1,215;58,15
21;1,17;5,845;1,17;58,45
21,1;1,11;5,87;1,11;58,7
21,2;1,035;5,9;1,035;59
21,3;0,96;5,925;0,96;59,25
21,399;0,915;5,95;0,915;59,5
21,501;0,885;5,98;0,885;59,8
21,601;0,87;6,01;0,87;60,1
21,701;0,885;6,035;0,885;60,35
21,8;0,885;6,06;0,885;60,6
21,9;0,87;6,09;0,87;60,9
22;0,87;6,115;0,87;61,15
22,1;0,87;6,14;0,87;61,4
22,2;0,885;6,17;0,885;61,7
22,3;0,915;6,195;0,915;61,95
22,4;0,945;6,225;0,945;62,25
22,499;0,975;6,25;0,975;62,5
22,6;1,02;6,275;1,02;62,75
22,7;1,065;6,305;1,065;63,05
22,801;1,125;6,33;1,125;63,3
22,901;1,2;6,36;1,2;63,6
23,001;1,29;6,385;1,29;63,85
23,1;1,38;6,415;1,38;64,15
23,2;1,485;6,44;1,485;64,4
23,301;1,59;6,47;1,59;64,7
23,401;1,71;6,495;1,71;64,95
23,5;1,83;6,52;1,83;65,2
23,6;1,95;6,55;1,95;65,5
23,7;2,085;6,575;2,085;65,75
23,8;2,235;6,6;2,235;66
23,9;2,37;6,63;2,37;66,3
24;2,52;6,655;2,52;66,55
24,099;2,685;6,685;2,685;66,85
24,2;2,85;6,71;2,85;67,1
24,3;3,015;6,735;3,015;67,35
24,401;3,18;6,765;3,18;67,65
24,5;3,375;6,79;3,375;67,9
24,6;3,555;6,815;3,555;68,15
24,7;3,75;6,845;3,75;68,45
24,8;3,945;6,875;3,945;68,75
24,9;4,14;6,9;4,14;69
25;4,32;6,925;4,32;69,25
25,099;4,5;6,95;4,5;69,5
25,2;4,665;6,98;4,665;69,8
25,3;4,815;7,005;4,815;70,05
25,4;4,98;7,035;4,98;70,35
25,499;5,145;7,06;5,145;70,6
25,6;5,325;7,085;5,325;70,85
25,699;5,52;7,115;5,52;71,15
25,799;5,685;7,14;5,685;71,4
25,9;5,85;7,17;5,85;71,7
26;6,015;7,195;6,015;71,95
26,1;6,18;7,22;6,18;72,2
26,2;6,33;7,25;6,33;72,5
26,3;6,51;7,275;6,51;72,75
26,4;6,675;7,3;6,675;73
26,499;6,84;7,33;6,84;73,3
26,6;7,005;7,355;7,005;73,55
26,701;7,17;7,38;7,17;73,8
26,8;7,335;7,41;7,335;74,1
26,901;7,515;7,435;7,515;74,35
27;7,71;7,46;7,71;74,6
27,1;7,935;7,49;7,935;74,9
27,201;8,16;7,515;8,16;75,15
27,3;8,385;7,54;8,385;75,4
27,4;8,595;7,57;8,595;75,7
27,499;8,82;7,595;8,82;75,95
27,6;9,045;7,625;9,045;76,25
27,701;9,3;7,65;9,3;76,5
27,8;9,585;7,675;9,585;76,75
27,899;9,915;7,7;9,915;77
28;10,23;7,73;10,23;77,3
28,101;10,56;7,755;10,56;77,55
28,2;10,89;7,785;10,89;77,85
28,3;11,235;7,81;11,235;78,1
28,401;11,595;7,835;11,595;78,35
28,501;11,97;7,86;11,97;78,6
28,6;12,285;7,89;12,285;78,9
28,699;12,585;7,91;12,585;79,1
28,8;12,645;7,91;12,645;79,1
28,899;12,645;7,91;12,645;79,1
29,001;12,645;7,91;12,645;79,1
29,1;12,645;7,91;12,645;79,1
29,199;12,645;7,91;12,645;79,1
29,3;12,645;7,91;12,645;79,1
29,4;12,645;7,91;12,645;79,1
29,499;12,645;7,91;12,645;79,1
29,6;12,645;7,91;12,645;79,1
29,7;12,645;7,91;12,645;79,1
29,801;12,66;7,91;12,66;79,1
29,9;12,66;7,91;12,66;79,1
30;12,66;7,91;12,66;79,1
30,099;12,66;7,91;12,66;79,1
30,2;12,66;7,91;12,66;79,1
30,3;12,675;7,91;12,675;79,1
30,399;12,675;7,91;12,675;79,1
30,5;12,675;7,91;12,675;79,1
30,6;12,675;7,91;12,675;79,1
30,7;12,66;7,91;12,66;79,1
30,799;12,675;7,91;12,675;79,1
30,901;12,675;7,91;12,675;79,1
30,999;12,675;7,91;12,675;79,1
31,1;12,675;7,91;12,675;79,1
31,199;12,675;7,91;12,675;79,1
31,299;12,675;7,91;12,675;79,1
31,4;12,675;7,91;12,675;79,1
31,501;12,66;7,91;12,66;79,1
31,599;12,63;7,91;12,63;79,1
31,699;12,63;7,91;12,63;79,1
31,8;12,63;7,91;12,63;79,1
31,9;12,63;7,91;12,63;79,1
32;12,63;7,91;12,63;79,1
32,099;12,63;7,91;12,63;79,1
32,2;12,63;7,91;12,63;79,1
32,301;12,63;7,91;12,63;79,1
32,399;12,63;7,91;12,63;79,1
32,5;12,63;7,91;12,63;79,1
32,6;12,63;7,91;12,63;79,1
32,699;12,615;7,91;12,615;79,1
32,8;12,63;7,91;12,63;79,1
32,899;12,63;7,91;12,63;79,1
33;12,615;7,91;12,615;79,1
33,099;12,63;7,91;12,63;79,1
33,2;12,63;7,91;12,63;79,1
33,3;12,63;7,91;12,63;79,1
33,4;12,63;7,91;12,63;79,1
33,5;12,63;7,91;12,63;79,1
33,6;12,63;7,91;12,63;79,1
33,7;12,615;7,91;12,615;79,1
33,799;12,51;7,91;12,51;79,1
33,9;12,51;7,91;12,51;79,1
34;12,525;7,91;12,525;79,1
34,1;12,525;7,91;12,525;79,1
34,2;12,525;7,91;12,525;79,1
34,3;12,525;7,91;12,525;79,1
34,399;12,525;7,91;12,525;79,1
34,5;12,54;7,91;12,54;79,1
34,6;12,555;7,91;12,555;79,1
34,7;12,57;7,91;12,57;79,1
34,8;12,57;7,91;12,57;79,1
34,9;12,585;7,91;12,585;79,1
35;12,585;7,91;12,585;79,1
35,1;12,585;7,91;12,585;79,1
35,199;12,585;7,91;12,585;79,1
35,301;12,6;7,91;12,6;79,1
35,4;12,6;7,91;12,6;79,1
35,5;12,6;7,91;12,6;79,1
35,599;12,6;7,91;12,6;79,1
35,7;12,615;7,91;12,615;79,1
35,8;12,615;7,91;12,615;79,1
35,899;12,615;7,91;12,615;79,1
36,001;12,615;7,91;12,615;79,1
36,099;12,615;7,91;12,615;79,1
36,2;12,63;7,91;12,63;79,1
36,299;12,63;7,91;12,63;79,1
36,4;12,63;7,91;12,63;79,1
36,5;12,63;7,91;12,63;79,1
36,6;12,63;7,91;12,63;79,1
36,699;12,63;7,91;12,63;79,1
36,799;12,63;7,91;12,63;79,1
36,899;12,63;7,91;12,63;79,1
37;12,63;7,91;12,63;79,1
37,1;12,63;7,91;12,63;79,1
37,2;12,63;7,91;12,63;79,1
37,3;12,63;7,91;12,63;79,1
37,401;12,63;7,91;12,63;79,1
37,5;12,63;7,91;12,63;79,1
37,601;12,63;7,91;12,63;79,1
37,701;12,63;7,91;12,63;79,1
37,801;12,63;7,91;12,63;79,1
37,9;12,63;7,91;12,63;79,1
38,001;12,63;7,91;12,63;79,1
38,1;12,63;7,91;12,63;79,1
38,201;12,63;7,91;12,63;79,1
38,3;12,615;7,91;12,615;79,1
38,4;12,615;7,91;12,615;79,1
38,5;12,615;7,91;12,615;79,1
38,6;12,615;7,91;12,615;79,1
38,699;12,615;7,91;12,615;79,1
38,8;12,615;7,91;12,615;79,1
38,9;12,6;7,91;12,6;79,1
39;12,6;7,91;12,6;79,1
39,101;12,6;7,91;12,6;79,1
39,2;12,6;7,91;12,6;79,1
39,299;12,6;7,91;12,6;79,1
39,4;12,615;7,91;12,615;79,1
39,5;12,63;7,91;12,63;79,1
39,601;12,63;7,91;12,63;79,1
39,699;12,63;7,91;12,63;79,1
39,8;12,63;7,91;12,63;79,1
39,9;12,63;7,91;12,63;79,1
40;12,63;7,91;12,63;79,1
