Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;0,345;0;0,345;0
0,1;1,665;0,005;1,665;0,05
0,2;0,345;0,035;0,345;0,35
0,3;0,36;0,065;0,36;0,65
0,401;0,375;0,095;0,375;0,95
0,501;0,39;0,12;0,39;1,2
0,601;0,39;0,15;0,39;1,5
0,701;0,405;0,18;0,405;1,8
0,8;0,405;0,21;0,405;2,1
0,9;0,405;0,235;0,405;2,35
1;0,42;0,265;0,42;2,65
1,1;0,42;0,295;0,42;2,95
1,2;0,42;0,325;0,42;3,25
1,299;0,435;0,35;0,435;3,5
1,399;0,435;0,38;0,435;3,8
1,5;0,435;0,41;0,435;4,1
1,601;0,45;0,44;0,45;4,4
1,699;0,45;0,465;0,45;4,65
1,8;0,45;0,495;0,45;4,95
1,9;0,465;0,525;0,465;5,25
2,001;0,465;0,555;0,465;5,55
2,099;0,465;0,58;0,465;5,8
2,199;0,48;0,61;0,48;6,1
2,3;0,48;0,635;0,48;6,35
2,4;0,48;0,665;0,48;6,65
2,501;0,495;0,695;0,495;6,95
2,6;0,495;0,725;0,495;7,25
2,7;0,495;0,755;0,495;7,55
2,801;0,51;0,78;0,51;7,8
2,9;0,51;0,81;0,51;8,1
3;0,51;0,84;0,51;8,4
3,1;0,525;0,865;0,525;8,65
3,2;0,525;0,895;0,525;8,95
3,3;0,54;0,925;0,54;9,25
3,4;0,54;0,955;0,54;9,55
3,5;0,54;0,98;0,54;9,8
3,6;0,555;1,01;0,555;10,1
3,701;0,555;1,035;0,555;10,35
3,801;0,57;1,065;0,57;10,65
3,9;0,57;1,095;0,57;10,95
4,001;0,57;1,12;0,57;11,2
4,1;0,585;1,15;0,585;11,5
4,201;0,585;1,18;0,585;11,8
4,299;0,6;1,21;0,6;12,1
4,4;0,6;1,235;0,6;12,35
4,5;0,615;1,265;0,615;12,65
4,6;0,615;1,295;0,615;12,95
4,7;0,63;1,32;0,63;13,2
4,799;0,63;1,35;0,63;13,5
4,9;0,645;1,38;0,645;13,8
4,999;0,645;1,405;0,645;14,05
5,1;0,66;1,435;0,66;14,35
5,201;0,66;1,465;0,66;14,65
5,301;0,675;1,49;0,675;14,9
5,4;0,675;1,52;0,675;15,2
5,499;0,69;1,55;0,69;15,5
5,6;0,69;1,575;0,69;15,75
5,701;0,705;1,605;0,705;16,05
5,8;0,705;1,63;0,705;16,3
5,9;0,72;1,66;0,72;16,6
6;0,72;1,69;0,72;16,9
6,101;0,735;1,72;0,735;17,2
6,2;0,735;1,745;0,735;17,45
6,299;0,735;1,775;0,735;17,75
6,4;0,72;1,8;0,72;18
6,5;0,69;1,83;0,69;18,3
6,599;0,66;1,86;0,66;18,6
6,7;0,63;1,885;0,63;18,85
6,8;0,6;1,915;0,6;19,15
6,9;0,57;1,945;0,57;19,45
7;0,54;1,97;0,54;19,7
7,099;0,51;2;0,51;20
7,2;0,48;2,03;0,48;20,3
7,3;0,465;2,055;0,465;20,55
7,4;0,435;2,085;0,435;20,85
7,5;0,42;2,11;0,42;21,1
7,6;0,405;2,14;0,405;21,4
7,701;0,405;2,17;0,405;21,7
7,801;0,39;2,2;0,39;22
7,9;0,375;2,225;0,375;22,25
8;0,39;2,25;0,39;22,5
8,1;0,39;2,28;0,39;22,8
8,2;0,405;2,31;0,405;23,1
8,299;0,405;2,335;0,405;23,35
8,4;0,435;2,365;0,435;23,65
8,499;0,45;2,395;0,45;23,95
8,6;0,465;2,42;0,465;24,2
8,699;0,525;2,45;0,525;24,5
8,8;0,585;2,475;0,585;24,75
8,9;0,66;2,505;0,66;25,05
9;0,72;2,535;0,72;25,35
9,1;0,765;2,56;0,765;25,6
9,199;0,81;2,59;0,81;25,9
9,3;0,87;2,615;0,87;26,15
9,4;0,93;2,645;0,93;26,45
9,5;1,02;2,67;1,02;26,7
9,6;1,11;2,7;1,11;27
9,7;1,215;2,73;1,215;27,3
9,8;1,305;2,755;1,305;27,55
9,9;1,395;2,785;1,395;27,85
9,999;1,485;2,81;1,485;28,1
10,1;1,575;2,84;1,575;28,4
10,2;1,65;2,87;1,65;28,7
10,301;1,74;2,895;1,74;28,95
10,4;1,8;2,925;1,8;29,25
10,5;1,875;2,95;1,875;29,5
10,6;1,935;2,98;1,935;29,8
10,7;1,98;3,01;1,98;30,1
10,8;2,04;3,035;2,04;30,35
10,9;2,085;3,065;2,085;30,65
10,999;2,13;3,09;2,13;30,9
11,099;2,16;3,12;2,16;31,2
11,201;2,19;3,145;2,19;31,45
11,3;2,22;3,175;2,22;31,75
11,399;2,235;3,2;2,235;32
11,5;2,265;3,23;2,265;32,3
11,599;2,265;3,26;2,265;32,6
11,699;2,28;3,285;2,28;32,85
11,799;2,295;3,315;2,295;33,15
11,899;2,295;3,34;2,295;33,4
12;2,295;3,37;2,295;33,7
12,1;2,295;3,395;2,295;33,95
12,199;2,28;3,425;2,28;34,25
