Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;1,875;0,015;1,875;0,15
0,1;0,345;0,045;0,345;0,45
0,2;0,36;0,07;0,36;0,7
0,299;0,36;0,1;0,36;1
0,401;0,36;0,13;0,36;1,3
0,5;0,36;0,16;0,36;1,6
0,6;0,36;0,185;0,36;1,85
0,7;0,36;0,215;0,36;2,15
0,8;0,36;0,245;0,36;2,45
0,9;0,36;0,275;0,36;2,75
1,001;0,36;0,305;0,36;3,05
1,099;0,36;0,33;0,36;3,3
1,2;0,36;0,36;0,36;3,6
1,3;0,36;0,39;0,36;3,9
1,399;0,36;0,415;0,36;4,15
1,5;0,36;0,445;0,36;4,45
1,599;0,36;0,475;0,36;4,75
1,7;0,375;0,5;0,375;5
1,8;0,375;0,53;0,375;5,3
1,9;0,375;0,56;0,375;5,6
2;0,375;0,59;0,375;5,9
2,1;0,39;0,615;0,39;6,15
2,2;0,39;0,645;0,39;6,45
2,299;0,39;0,675;0,39;6,75
2,4;0,405;0,7;0,405;7
2,499;0,405;0,73;0,405;7,3
2,599;0,42;0,76;0,42;7,6
2,699;0,42;0,785;0,42;7,85
2,799;0,435;0,815;0,435;8,15
2,9;0,435;0,845;0,435;8,45
3,001;0,45;0,875;0,45;8,75
3,1;0,45;0,9;0,45;9
3,2;0,45;0,93;0,45;9,3
3,301;0,465;0,955;0,465;9,55
3,399;0,48;0,985;0,48;9,85
3,5;0,48;1,015;0,48;10,15
3,6;0,48;1,04;0,48;10,4
3,699;0,495;1,07;0,495;10,7
3,8;0,495;1,1;0,495;11
3,9;0,51;1,125;0,51;11,25
4;0,51;1,155;0,51;11,55
4,1;0,525;1,185;0,525;11,85
4,199;0,525;1,21;0,525;12,1
4,3;0,54;1,24;0,54;12,4
4,4;0,54;1,27;0,54;12,7
4,5;0,555;1,295;0,555;12,95
4,6;0,555;1,325;0,555;13,25
4,699;0,555;1,355;0,555;13,55
4,8;0,57;1,385;0,57;13,85
4,899;0,57;1,41;0,57;14,1
5;0,585;1,435;0,585;14,35
5,099;0,45;1,465;0,45;14,65
5,199;0,45;1,495;0,45;14,95
5,3;0,6;1,525;0,6;15,25
5,401;0,6;1,55;0,6;15,5
5,5;0,615;1,58;0,615;15,8
5,599;0,435;1,605;0,435;16,05
5,7;0,435;1,635;0,435;16,35
5,8;0,435;1,665;0,435;16,65
5,899;0,435;1,695;0,435;16,95
6;0,435;1,72;0,435;17,2
6,1;0,435;1,75;0,435;17,5
6,199;0,435;1,775;0,435;17,75
6,299;0,45;1,805;0,45;18,05
6,399;0,45;1,835;0,45;18,35
6,5;0,45;1,86;0,45;18,6
6,6;0,465;1,89;0,465;18,9
6,699;0,465;1,915;0,465;19,15
6,8;0,465;1,945;0,465;19,45
6,899;0,48;1,975;0,48;19,75
7;0,48;2,005;0,48;20,05
7,1;0,495;2,03;0,495;20,3
7,2;0,495;2,06;0,495;20,6
7,299;0,51;2,085;0,51;20,85
7,4;0,51;2,115;0,51;21,15
7,5;0,525;2,14;0,525;21,4
7,599;0,525;2,17;0,525;21,7
7,701;0,54;2,2;0,54;22
7,8;0,54;2,225;0,54;22,25
7,9;0,555;2,255;0,555;22,55
8;0,555;2,28;0,555;22,8
8,1;0,555;2,31;0,555;23,1
8,199;0,57;2,335;0,57;23,35
8,3;0,57;2,365;0,57;23,65
8,399;0,585;2,395;0,585;23,95
8,499;0,585;2,42;0,585;24,2
8,6;0,6;2,45;0,6;24,5
8,7;0,6;2,48;0,6;24,8
8,799;0,615;2,505;0,615;25,05
8,899;0,615;2,535;0,615;25,35
