Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
9;0,63;2,56;0,63;25,6
9,1;0,63;2,59;0,63;25,9
9,2;0,645;2,615;0,645;26,15
9,3;0,645;2,645;0,645;26,45
9,399;0,645;2,675;0,645;26,75
9,499;0,66;2,7;0,66;27
9,601;0,675;2,73;0,675;27,3
9,699;0,675;2,755;0,675;27,55
9,8;0,675;2,785;0,675;27,85
9,9;0,69;2,81;0,69;28,1
10;0,69;2,84;0,69;28,4
10,1;0,705;2,865;0,705;28,65
10,199;0,705;2,895;0,705;28,95
10,299;0,72;2,925;0,72;29,25
10,4;0,72;2,95;0,72;29,5
10,5;0,72;2,98;0,72;29,8
10,599;0,735;3,005;0,735;30,05
10,7;0,735;3,035;0,735;30,35
10,8;0,735;3,06;0,735;30,6
10,899;0,735;3,09;0,735;30,9
11;0,75;3,115;0,75;31,15
11,099;0,75;3,145;0,75;31,45
11,199;0,75;3,175;0,75;31,75
11,299;0,75;3,2;0,75;32
11,399;0,75;3,23;0,75;32,3
11,499;0,75;3,255;0,75;32,55
11,599;0,75;3,285;0,75;32,85
11,7;0,75;3,31;0,75;33,1
11,8;0,75;3,34;0,75;33,4
11,9;0,75;3,365;0,75;33,65
11,999;0,75;3,395;0,75;33,95
12,1;0,75;3,425;0,75;34,25
12,201;0,75;3,45;0,75;34,5
12,3;0,75;3,48;0,75;34,8
12,399;0,75;3,505;0,75;35,05
12,5;0,735;3,53;0,735;35,3
12,599;0,735;3,56;0,735;35,6
12,7;0,72;3,59;0,72;35,9
12,799;0,705;3,615;0,705;36,15
12,9;0,705;3,645;0,705;36,45
13;0,69;3,67;0,69;36,7
13,099;0,675;3,7;0,675;37
13,199;0,675;3,725;0,675;37,25
13,3;0,66;3,755;0,66;37,55
13,4;0,645;3,785;0,645;37,85
13,501;0,63;3,81;0,63;38,1
13,6;0,63;3,84;0,63;38,4
13,699;0,615;3,865;0,615;38,65
13,8;0,6;3,895;0,6;38,95
13,9;0,585;3,92;0,585;39,2
14;0,585;3,95;0,585;39,5
14,099;0,57;3,975;0,57;39,75
14,2;0,57;4,005;0,57;40,05
14,301;0,57;4,03;0,57;40,3
14,399;0,555;4,06;0,555;40,6
14,5;0,555;4,085;0,555;40,85
14,6;0,54;4,115;0,54;41,15
14,7;0,54;4,14;0,54;41,4
14,8;0,54;4,17;0,54;41,7
14,899;0,54;4,195;0,54;41,95
15;0,525;4,225;0,525;42,25
15,099;0,54;4,25;0,54;42,5
15,199;0,525;4,28;0,525;42,8
15,299;0,54;4,305;0,54;43,05
15,4;0,54;4,33;0,54;43,3
15,5;0,54;4,36;0,54;43,6
15,599;0,54;4,39;0,54;43,9
15,701;0,555;4,415;0,555;44,15
15,799;0,555;4,445;0,555;44,45
15,899;0,57;4,47;0,57;44,7
16;0,585;4,5;0,585;45
16,1;0,6;4,525;0,6;45,25
16,2;0,6;4,555;0,6;45,55
16,301;0,615;4,58;0,615;45,8
16,401;0,63;4,61;0,63;46,1
16,499;0,645;4,635;0,645;46,35
16,6;0,66;4,665;0,66;46,65
16,7;0,69;4,69;0,69;46,9
16,799;0,705;4,715;0,705;47,15
16,899;0,72;4,745;0,72;47,45
17,001;0,75;4,775;0,75;47,75
17,1;0,765;4,8;0,765;48
17,2;0,795;4,825;0,795;48,25
17,299;0,81;4,855;0,81;48,55
17,399;0,84;4,88;0,84;48,8
17,5;0,87;4,91;0,87;49,1
17,6;0,9;4,935;0,9;49,35
17,699;0,93;4,965;0,93;49,65
17,8;0,96;4,99;0,96;49,9
17,899;0,99;5,02;0,99;50,2
18;1,02;5,045;1,02;50,45
18,099;1,05;5,075;1,05;50,75
18,2;1,095;5,1;1,095;51
18,3;1,125;5,125;1,125;51,25
18,4;1,155;5,155;1,155;51,55
18,5;1,185;5,18;1,185;51,8
18,6;1,2;5,21;1,2;52,1
18,7;1,215;5,235;1,215;52,35
18,8;1,215;5,265;1,215;52,65
18,899;1,215;5,29;1,215;52,9
19;1,215;5,315;1,215;53,15
19,099;1,215;5,345;1,215;53,45
19,199;1,215;5,37;1,215;53,7
19,299;1,2;5,4;1,2;54
19,4;1,185;5,425;1,185;54,25
19,5;1,17;5,45;1,17;54,5
19,599;1,14;5,48;1,14;54,8
19,699;1,11;5,505;1,11;55,05
19,801;1,095;5,535;1,095;55,35
19,9;1,065;5,56;1,065;55,6
20;1,035;5,59;1,035;55,9
20,1;1,005;5,615;1,005;56,15
20,199;0,975;5,645;0,975;56,45
20,3;0,945;5,67;0,945;56,7
20,399;0,915;5,695;0,915;56,95
20,5;0,9;5,725;0,9;57,25
20,6;0,87;5,75;0,87;57,5
20,7;0,84;5,78;0,84;57,8
20,799;0,825;5,805;0,825;58,05
20,9;0,795;5,83;0,795;58,3
20,999;0,78;5,86;0,78;58,6
21,099;0,765;5,89;0,765;58,9
21,199;0,75;5,915;0,75;59,15
21,3;0,72;5,94;0,72;59,4
21,401;0,705;5,97;0,705;59,7
21,499;0,675;5,995;0,675;59,95
21,599;0,66;6,02;0,66;60,2
21,7;0,645;6,05;0,645;60,5
21,8;0,645;6,075;0,645;60,75
21,899;0,63;6,105;0,63;61,05
21,999;0,615;6,13;0,615;61,3
22,1;0,6;6,16;0,6;61,6
22,199;0,585;6,185;0,585;61,85
22,299;0,585;6,21;0,585;62,1
22,399;0,57;6,24;0,57;62,4
22,5;0,57;6,265;0,57;62,65
22,6;0,57;6,29;0,57;62,9
22,701;0,555;6,32;0,555;63,2
22,8;0,555;6,345;0,555;63,45
22,899;0,555;6,375;0,555;63,75
23;0,555;6,4;0,555;64
23,101;0,555;6,425;0,555;64,25
23,2;0,555;6,455;0,555;64,55
23,3;0,555;6,48;0,555;64,8
23,401;0,57;6,51;0,57;65,1
23,5;0,57;6,535;0,57;65,35
23,599;0,585;6,56;0,585;65,6
23,7;0,585;6,59;0,585;65,9
23,799;0,6;6,615;0,6;66,15
23,899;0,615;6,645;0,615;66,45
24;0,63;6,67;0,63;66,7
24,1;0,63;6,695;0,63;66,95
24,2;0,645;6,725;0,645;67,25
24,3;0,66;6,75;0,66;67,5
24,4;0,675;6,775;0,675;67,75
24,5;0,705;6,805;0,705;68,05
24,601;0,72;6,83;0,72;68,3
24,7;0,735;6,86;0,735;68,6
24,799;0,765;6,885;0,765;68,85
24,9;0,78;6,91;0,78;69,1
25;0,81;6,935;0,81;69,35
25,099;0,825;6,965;0,825;69,65
25,199;0,84;6,99;0,84;69,9
25,299;0,855;7,02;0,855;70,2
25,4;0,885;7,045;0,885;70,45
25,5;0,9;7,07;0,9;70,7
25,6;0,93;7,1;0,93;71
25,7;0,945;7,125;0,945;71,25
25,799;0,96;7,15;0,96;71,5
25,901;0,96;7,18;0,96;71,8
26;0,975;7,205;0,975;72,05
26,099;0,975;7,23;0,975;72,3
26,199;0,99;7,26;0,99;72,6
26,3;0,99;7,285;0,99;72,85
26,4;1,005;7,31;1,005;73,1
26,499;1,005;7,34;1,005;73,4
26,6;1,005;7,365;1,005;73,65
26,7;1,005;7,39;1,005;73,9
26,8;0,99;7,42;0,99;74,2
26,9;0,99;7,445;0,99;74,45
27;0,99;7,47;0,99;74,7
27,1;0,99;7,5;0,99;75
27,201;0,99;7,525;0,99;75,25
27,3;0,99;7,55;0,99;75,5
27,4;1,005;7,58;1,005;75,8
27,5;0,99;7,605;0,99;76,05
27,599;0,99;7,63;0,99;76,3
27,699;0,99;7,66;0,99;76,6
27,801;0,99;7,685;0,99;76,85
27,899;0,99;7,71;0,99;77,1
28;1,005;7,74;1,005;77,4
28,1;1,02;7,765;1,02;77,65
28,2;1,035;7,79;1,035;77,9
28,3;1,05;7,82;1,05;78,2
28,4;1,05;7,845;1,05;78,45
28,499;1,065;7,87;1,065;78,7
28,599;1,095;7,895;1,095;78,95
28,699;1,11;7,91;1,11;79,1
28,801;1,095;7,91;1,095;79,1
28,899;1,095;7,91;1,095;79,1
29;1,095;7,91;1,095;79,1
29,099;1,11;7,91;1,11;79,1
29,199;1,11;7,91;1,11;79,1
29,3;1,11;7,91;1,11;79,1
29,399;1,125;7,91;1,125;79,1
29,499;1,125;7,91;1,125;79,1
29,599;1,125;7,91;1,125;79,1
29,7;1,14;7,91;1,14;79,1
29,8;1,14;7,91;1,14;79,1
29,9;1,14;7,91;1,14;79,1
29,999;1,155;7,91;1,155;79,1
30,1;1,155;7,91;1,155;79,1
30,2;1,155;7,91;1,155;79,1
30,3;1,17;7,91;1,17;79,1
30,399;1,17;7,91;1,17;79,1
30,5;1,17;7,91;1,17;79,1
30,599;1,185;7,91;1,185;79,1
30,7;1,185;7,91;1,185;79,1
30,8;1,185;7,91;1,185;79,1
30,9;1,2;7,91;1,2;79,1
31;1,2;7,91;1,2;79,1
31,1;1,2;7,91;1,2;79,1
31,2;1,2;7,91;1,2;79,1
31,3;1,2;7,91;1,2;79,1
31,4;1,2;7,91;1,2;79,1
31,499;0,96;7,91;0,96;79,1
31,601;1,2;7,91;1,2;79,1
31,7;1,215;7,91;1,215;79,1
31,8;1,215;7,91;1,215;79,1
31,9;1,215;7,91;1,215;79,1
32;1,215;7,91;1,215;79,1
32,099;0,96;7,91;0,96;79,1
32,2;0,96;7,91;0,96;79,1
32,299;0,96;7,91;0,96;79,1
32,4;0,96;7,91;0,96;79,1
32,5;0,96;7,91;0,96;79,1
32,6;0,96;7,91;0,96;79,1
32,7;0,96;7,91;0,96;79,1
32,799;0,96;7,91;0,96;79,1
32,9;0,975;7,91;0,975;79,1
32,999;0,99;7,91;0,99;79,1
33,1;0,99;7,91;0,99;79,1
33,2;0,99;7,91;0,99;79,1
33,3;1,005;7,91;1,005;79,1
33,399;1,005;7,91;1,005;79,1
33,5;1,02;7,91;1,02;79,1
33,599;1,02;7,91;1,02;79,1
33,701;1,02;7,91;1,02;79,1
33,8;1,035;7,91;1,035;79,1
33,899;1,035;7,91;1,035;79,1
34;1,05;7,91;1,05;79,1
34,099;1,05;7,91;1,05;79,1
34,199;1,065;7,91;1,065;79,1
34,3;1,065;7,91;1,065;79,1
34,399;1,08;7,91;1,08;79,1
34,5;1,08;7,91;1,08;79,1
34,6;1,095;7,91;1,095;79,1
34,7;1,095;7,91;1,095;79,1
34,799;1,11;7,91;1,11;79,1
34,9;1,11;7,91;1,11;79,1
34,999;1,125;7,91;1,125;79,1
35,1;1,125;7,91;1,125;79,1
35,199;1,125;7,91;1,125;79,1
35,299;1,14;7,91;1,14;79,1
35,4;1,14;7,91;1,14;79,1
35,5;1,155;7,91;1,155;79,1
35,599;1,155;7,91;1,155;79,1
35,7;1,17;7,91;1,17;79,1
35,8;1,17;7,91;1,17;79,1
35,899;1,17;7,91;1,17;79,1
36;1,185;7,91;1,185;79,1
36,101;1,185;7,91;1,185;79,1
36,2;1,185;7,91;1,185;79,1
36,299;1,185;7,91;1,185;79,1
36,399;1,2;7,91;1,2;79,1
36,5;1,2;7,91;1,2;79,1
36,6;1,2;7,91;1,2;79,1
36,7;1,2;7,91;1,2;79,1
36,8;1,2;7,91;1,2;79,1
36,9;1,2;7,91;1,2;79,1
37;1,2;7,91;1,2;79,1
37,1;1,2;7,91;1,2;79,1
37,2;1,2;7,91;1,2;79,1
37,3;1,185;7,91;1,185;79,1
37,399;1,185;7,91;1,185;79,1
37,499;1,185;7,91;1,185;79,1
37,6;1,185;7,91;1,185;79,1
37,701;1,17;7,91;1,17;79,1
37,799;1,17;7,91;1,17;79,1
37,9;1,17;7,91;1,17;79,1
38;1,155;7,91;1,155;79,1
38,099;1,155;7,91;1,155;79,1
38,2;1,14;7,91;1,14;79,1
38,299;1,14;7,91;1,14;79,1
38,4;1,125;7,91;1,125;79,1
38,501;1,11;7,91;1,11;79,1
38,6;1,11;7,91;1,11;79,1
38,7;1,095;7,91;1,095;79,1
38,799;1,095;7,91;1,095;79,1
38,9;1,08;7,91;1,08;79,1
39;1,065;7,91;1,065;79,1
39,099;1,065;7,91;1,065;79,1
39,2;1,05;7,91;1,05;79,1
39,299;1,05;7,91;1,05;79,1
39,4;1,035;7,91;1,035;79,1
39,5;1,02;7,91;1,02;79,1
39,6;1,02;7,91;1,02;79,1
39,7;1,005;7,91;1,005;79,1
39,799;1,005;7,91;1,005;79,1
39,9;0,99;7,91;0,99;79,1
40;0,99;7,91;0,99;79,1
