Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;0,48;7,885;0,48;78,85
0,099;0,21;0,03;0,21;0,3
0,199;0,45;0,055;0,45;0,55
0,301;0,48;0,085;0,48;0,85
0,401;0,48;0,115;0,48;1,15
0,5;0,495;0,145;0,495;1,45
0,6;0,495;0,17;0,495;1,7
0,701;0,495;0,2;0,495;2
0,8;0,495;0,23;0,495;2,3
0,9;0,495;0,26;0,495;2,6
1;0,48;0,285;0,48;2,85
1,101;0,48;0,315;0,48;3,15
1,201;0,48;0,345;0,48;3,45
1,3;0,48;0,375;0,48;3,75
1,4;0,465;0,4;0,465;4
1,5;0,465;0,43;0,465;4,3
1,6;0,465;0,46;0,465;4,6
1,7;0,465;0,485;0,465;4,85
1,8;0,45;0,515;0,45;5,15
1,9;0,45;0,545;0,45;5,45
1,999;0,45;0,57;0,45;5,7
2,101;0,45;0,6;0,45;6
2,201;0,45;0,63;0,45;6,3
2,3;0,435;0,655;0,435;6,55
2,399;0,435;0,685;0,435;6,85
2,5;0,435;0,715;0,435;7,15
2,6;0,435;0,745;0,435;7,45
2,701;0,435;0,77;0,435;7,7
2,8;0,42;0,8;0,42;8
2,9;0,42;0,83;0,42;8,3
3;0,42;0,855;0,42;8,55
3,1;0,42;0,885;0,42;8,85
3,2;0,42;0,915;0,42;9,15
3,3;0,42;0,94;0,42;9,4
3,4;0,405;0,97;0,405;9,7
3,499;0,405;1;0,405;10
3,6;0,405;1,025;0,405;10,25
3,699;0,405;1,055;0,405;10,55
3,8;0,405;1,085;0,405;10,85
3,9;0,405;1,11;0,405;11,1
4;0,405;1,14;0,405;11,4
4,101;0,405;1,17;0,405;11,7
4,2;0,405;1,195;0,405;11,95
4,3;0,405;1,225;0,405;12,25
4,4;0,405;1,255;0,405;12,55
4,5;0,405;1,28;0,405;12,8
4,6;0,405;1,31;0,405;13,1
4,699;0,42;1,335;0,42;13,35
4,799;0,42;1,365;0,42;13,65
4,9;0,42;1,395;0,42;13,95
5;0,42;1,425;0,42;14,25
5,099;0,435;1,45;0,435;14,5
5,199;0,435;1,48;0,435;14,8
5,3;0,435;1,505;0,435;15,05
5,4;0,45;1,535;0,45;15,35
5,499;0,45;1,565;0,45;15,65
5,599;0,465;1,59;0,465;15,9
5,7;0,465;1,62;0,465;16,2
5,8;0,48;1,645;0,48;16,45
5,9;0,48;1,675;0,48;16,75
5,999;0,495;1,705;0,495;17,05
6,1;0,495;1,735;0,495;17,35
6,199;0,495;1,76;0,495;17,6
6,299;0,51;1,79;0,51;17,9
6,4;0,525;1,815;0,525;18,15
6,501;0,525;1,845;0,525;18,45
6,6;0,525;1,875;0,525;18,75
6,7;0,54;1,9;0,54;19
6,8;0,54;1,93;0,54;19,3
6,899;0,555;1,955;0,555;19,55
7;0,555;1,985;0,555;19,85
7,101;0,57;2,015;0,57;20,15
7,199;0,57;2,04;0,57;20,4
7,3;0,585;2,07;0,585;20,7
7,4;0,585;2,095;0,585;20,95
7,499;0,585;2,125;0,585;21,25
7,6;0,6;2,155;0,6;21,55
7,7;0,6;2,18;0,6;21,8
7,799;0,6;2,21;0,6;22,1
7,9;0,615;2,24;0,615;22,4
8;0,615;2,265;0,615;22,65
8,101;0,63;2,295;0,63;22,95
8,2;0,63;2,32;0,63;23,2
8,3;0,63;2,35;0,63;23,5
8,401;0,63;2,375;0,63;23,75
8,5;0,645;2,405;0,645;24,05
8,6;0,645;2,43;0,645;24,3
8,701;0,645;2,46;0,645;24,6
8,799;0,66;2,49;0,66;24,9
8,9;0,66;2,515;0,66;25,15
9;0,66;2,545;0,66;25,45
9,1;0,675;2,57;0,675;25,7
9,199;0,675;2,6;0,675;26
9,3;0,675;2,625;0,675;26,25
9,401;0,69;2,655;0,69;26,55
9,499;0,69;2,685;0,69;26,85
9,6;0,69;2,71;0,69;27,1
9,699;0,69;2,74;0,69;27,4
9,8;0,69;2,765;0,69;27,65
9,901;0,705;2,795;0,705;27,95
10;0,705;2,82;0,705;28,2
10,1;0,705;2,85;0,705;28,5
10,2;0,705;2,875;0,705;28,75
10,299;0,705;2,905;0,705;29,05
10,4;0,705;2,935;0,705;29,35
10,5;0,705;2,96;0,705;29,6
10,599;0,705;2,99;0,705;29,9
10,7;0,705;3,015;0,705;30,15
10,8;0,705;3,045;0,705;30,45
10,9;0,705;3,07;0,705;30,7
11;0,705;3,1;0,705;31
11,1;0,705;3,13;0,705;31,3
11,2;0,705;3,155;0,705;31,55
11,3;0,705;3,185;0,705;31,85
11,4;0,705;3,21;0,705;32,1
11,5;0,705;3,24;0,705;32,4
11,599;0,69;3,265;0,69;32,65
11,7;0,69;3,295;0,69;32,95
11,8;0,69;3,32;0,69;33,2
11,9;0,69;3,35;0,69;33,5
11,999;0,69;3,375;0,69;33,75
12,099;0,69;3,405;0,69;34,05
12,2;0,69;3,43;0,69;34,3
12,299;0,675;3,46;0,675;34,6
12,399;0,675;3,485;0,675;34,85
12,5;0,675;3,515;0,675;35,15
12,599;0,675;3,545;0,675;35,45
12,7;0,66;3,57;0,66;35,7
12,8;0,66;3,6;0,66;36
12,9;0,645;3,625;0,645;36,25
12,999;0,645;3,655;0,645;36,55
13,1;0,63;3,68;0,63;36,8
13,199;0,615;3,705;0,615;37,05
13,299;0,615;3,735;0,615;37,35
13,4;0,6;3,765;0,6;37,65
13,5;0,585;3,79;0,585;37,9
13,599;0,585;3,82;0,585;38,2
13,7;0,57;3,845;0,57;38,45
13,799;0,57;3,875;0,57;38,75
13,9;0,555;3,9;0,555;39
14,001;0,555;3,93;0,555;39,3
14,101;0,54;3,955;0,54;39,55
14,2;0,54;3,985;0,54;39,85
14,299;0,525;4,01;0,525;40,1
14,401;0,51;4,04;0,51;40,4
14,501;0,51;4,065;0,51;40,65
14,6;0,51;4,095;0,51;40,95
14,7;0,51;4,12;0,51;41,2
14,8;0,495;4,15;0,495;41,5
14,9;0,51;4,175;0,51;41,75
14,999;0,51;4,205;0,51;42,05
15,1;0,51;4,23;0,51;42,3
15,199;0,51;4,26;0,51;42,6
15,3;0,51;4,285;0,51;42,85
15,4;0,525;4,315;0,525;43,15
15,5;0,525;4,34;0,525;43,4
15,601;0,54;4,37;0,54;43,7
15,7;0,555;4,395;0,555;43,95
15,8;0,555;4,425;0,555;44,25
15,9;0,57;4,45;0,57;44,5
15,999;0,585;4,48;0,585;44,8
16,1;0,6;4,505;0,6;45,05
16,2;0,615;4,535;0,615;45,35
16,3;0,63;4,56;0,63;45,6
16,399;0,645;4,59;0,645;45,9
16,5;0,66;4,615;0,66;46,15
16,6;0,675;4,64;0,675;46,4
16,7;0,69;4,67;0,69;46,7
16,799;0,72;4,695;0,72;46,95
16,899;0,735;4,725;0,735;47,25
16,999;0,75;4,75;0,75;47,5
17,1;0,78;4,78;0,78;47,8
17,2;0,795;4,805;0,795;48,05
17,299;0,825;4,835;0,825;48,35
17,4;0,855;4,86;0,855;48,6
17,5;0,885;4,89;0,885;48,9
17,6;0,9;4,915;0,9;49,15
17,7;0,93;4,945;0,93;49,45
17,799;0,96;4,97;0,96;49,7
17,9;1,005;4,995;1,005;49,95
18;1,035;5,025;1,035;50,25
18,101;1,065;5,05;1,065;50,5
18,2;1,065;5,08;1,065;50,8
18,3;1,08;5,105;1,08;51,05
18,399;1,095;5,13;1,095;51,3
18,501;1,095;5,16;1,095;51,6
18,599;1,11;5,185;1,11;51,85
18,7;1,125;5,215;1,125;52,15
18,799;1,11;5,24;1,11;52,4
18,899;1,095;5,27;1,095;52,7
19;1,08;5,295;1,08;52,95
19,101;1,065;5,325;1,065;53,25
19,201;1,05;5,35;1,05;53,5
19,301;1,035;5,38;1,035;53,8
19,4;1,02;5,405;1,02;54,05
19,499;0,99;5,435;0,99;54,35
19,599;0,96;5,46;0,96;54,6
19,7;0,93;5,485;0,93;54,85
19,8;0,9;5,515;0,9;55,15
19,901;0,87;5,54;0,87;55,4
20,001;0,855;5,57;0,855;55,7
20,1;0,825;5,595;0,825;55,95
20,2;0,78;5,62;0,78;56,2
20,299;0,765;5,65;0,765;56,5
20,4;0,735;5,675;0,735;56,75
20,5;0,705;5,705;0,705;57,05
20,6;0,69;5,73;0,69;57,3
20,699;0,66;5,755;0,66;57,55
20,8;0,645;5,785;0,645;57,85
20,9;0,63;5,81;0,63;58,1
20,999;0,615;5,84;0,615;58,4
21,101;0,6;5,865;0,6;58,65
21,201;0,6;5,895;0,6;58,95
21,301;0,585;5,92;0,585;59,2
21,4;0,57;5,945;0,57;59,45
21,5;0,57;5,975;0,57;59,75
21,6;0,555;6;0,555;60
21,7;0,54;6,03;0,54;60,3
21,799;0,54;6,055;0,54;60,55
21,9;0,54;6,08;0,54;60,8
21,999;0,54;6,11;0,54;61,1
22,099;0,54;6,135;0,54;61,35
22,199;0,525;6,165;0,525;61,65
22,3;0,525;6,19;0,525;61,9
22,399;0,54;6,215;0,54;62,15
22,5;0,54;6,245;0,54;62,45
22,6;0,54;6,27;0,54;62,7
22,701;0,555;6,295;0,555;62,95
22,8;0,555;6,325;0,555;63,25
22,901;0,57;6,35;0,57;63,5
23,001;0,57;6,38;0,57;63,8
23,101;0,585;6,405;0,585;64,05
23,201;0,6;6,435;0,6;64,35
23,301;0,615;6,46;0,615;64,6
23,4;0,63;6,485;0,63;64,85
23,5;0,645;6,515;0,645;65,15
23,6;0,66;6,54;0,66;65,4
23,701;0,675;6,565;0,675;65,65
23,8;0,69;6,595;0,69;65,95
23,899;0,705;6,62;0,705;66,2
24;0,735;6,65;0,735;66,5
24,101;0,75;6,675;0,75;66,75
24,201;0,765;6,7;0,765;67
24,3;0,78;6,725;0,78;67,25
24,399;0,81;6,755;0,81;67,55
24,502;0,825;6,78;0,825;67,8
24,6;0,855;6,81;0,855;68,1
24,699;0,87;6,835;0,87;68,35
24,799;0,9;6,86;0,9;68,6
24,899;0,93;6,885;0,93;68,85
25;0,975;6,915;0,975;69,15
25,099;1,005;6,94;1,005;69,4
25,2;1,035;6,97;1,035;69,7
25,299;1,05;6,995;1,05;69,95
25,4;1,08;7,02;1,08;70,2
25,499;1,11;7,05;1,11;70,5
25,6;1,14;7,075;1,14;70,75
25,7;1,17;7,1;1,17;71
25,8;1,185;7,13;1,185;71,3
25,899;1,2;7,155;1,2;71,55
26;1,215;7,185;1,215;71,85
26,099;1,23;7,21;1,23;72,1
26,2;1,23;7,235;1,23;72,35
26,299;1,245;7,265;1,245;72,65
26,4;1,245;7,29;1,245;72,9
26,5;1,26;7,315;1,26;73,15
26,6;1,26;7,345;1,26;73,45
26,699;1,245;7,37;1,245;73,7
26,799;1,245;7,395;1,245;73,95
26,899;1,23;7,42;1,23;74,2
27;1,23;7,45;1,23;74,5
27,1;1,215;7,475;1,215;74,75
27,201;1,215;7,505;1,215;75,05
27,3;1,215;7,53;1,215;75,3
27,4;1,2;7,555;1,2;75,55
27,5;1,2;7,585;1,2;75,85
27,6;1,185;7,61;1,185;76,1
27,7;1,17;7,635;1,17;76,35
27,8;1,155;7,665;1,155;76,65
27,9;1,155;7,685;1,155;76,85
28;1,155;7,715;1,155;77,15
28,1;1,155;7,74;1,155;77,4
28,199;1,155;7,765;1,155;77,65
28,3;1,155;7,795;1,155;77,95
28,4;1,155;7,82;1,155;78,2
28,5;1,155;7,845;1,155;78,45
