Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
27,2;12,855;7,435;12,855;74,35
27,3;12,855;7,46;12,855;74,6
27,399;12,855;7,49;12,855;74,9
27,5;12,855;7,515;12,855;75,15
27,601;12,855;7,54;12,855;75,4
27,701;12,855;7,57;12,855;75,7
27,801;12,855;7,595;12,855;75,95
27,9;12,855;7,62;12,855;76,2
28;12,855;7,65;12,855;76,5
28,101;12,855;7,675;12,855;76,75
28,2;12,855;7,7;12,855;77
28,3;12,855;7,725;12,855;77,25
28,4;12,855;7,755;12,855;77,55
28,5;12,855;7,78;12,855;77,8
28,6;12,855;7,805;12,855;78,05
28,7;12,855;7,835;12,855;78,35
28,8;12,855;7,86;12,855;78,6
28,901;12,855;7,885;12,855;78,85
29;12,855;7,91;12,855;79,1
29,1;12,855;7,91;12,855;79,1
29,2;12,855;7,91;12,855;79,1
29,301;12,855;7,91;12,855;79,1
29,4;12,855;7,91;12,855;79,1
29,5;12,855;7,91;12,855;79,1
29,6;12,855;7,91;12,855;79,1
29,7;12,855;7,91;12,855;79,1
29,801;12,855;7,91;12,855;79,1
29,9;12,855;7,91;12,855;79,1
29,999;12,855;7,91;12,855;79,1
30,1;12,855;7,91;12,855;79,1
30,2;12,855;7,91;12,855;79,1
30,3;12,855;7,91;12,855;79,1
30,4;12,855;7,91;12,855;79,1
30,5;12,855;7,91;12,855;79,1
30,6;12,855;7,91;12,855;79,1
30,7;12,855;7,91;12,855;79,1
30,799;12,855;7,91;12,855;79,1
30,9;12,855;7,91;12,855;79,1
31,001;12,855;7,91;12,855;79,1
31,1;12,855;7,91;12,855;79,1
31,201;12,855;7,91;12,855;79,1
31,301;12,855;7,91;12,855;79,1
31,4;12,855;7,91;12,855;79,1
31,5;12,855;7,91;12,855;79,1
31,6;12,855;7,91;12,855;79,1
31,701;12,855;7,91;12,855;79,1
31,8;12,855;7,91;12,855;79,1
31,9;12,855;7,91;12,855;79,1
32;12,855;7,91;12,855;79,1
32,1;12,855;7,91;12,855;79,1
32,2;12,855;7,91;12,855;79,1
32,301;12,855;7,91;12,855;79,1
32,4;12,855;7,91;12,855;79,1
32,501;12,855;7,91;12,855;79,1
32,601;12,855;7,91;12,855;79,1
32,7;12,855;7,91;12,855;79,1
32,8;12,855;7,91;12,855;79,1
32,9;12,855;7,91;12,855;79,1
33;12,855;7,91;12,855;79,1
33,101;12,855;7,91;12,855;79,1
33,2;12,855;7,91;12,855;79,1
33,3;12,855;7,91;12,855;79,1
33,401;12,855;7,91;12,855;79,1
33,5;12,855;7,91;12,855;79,1
33,6;12,855;7,91;12,855;79,1
33,7;12,855;7,91;12,855;79,1
33,8;12,855;7,91;12,855;79,1
33,899;12,855;7,91;12,855;79,1
34;12,855;7,91;12,855;79,1
34,1;12,855;7,91;12,855;79,1
34,2;12,855;7,91;12,855;79,1
34,299;12,855;7,91;12,855;79,1
34,4;12,855;7,91;12,855;79,1
34,5;12,855;7,91;12,855;79,1
34,599;12,855;7,91;12,855;79,1
34,7;12,855;7,91;12,855;79,1
34,801;12,855;7,91;12,855;79,1
34,901;12,855;7,91;12,855;79,1
35;12,855;7,91;12,855;79,1
35,1;12,855;7,91;12,855;79,1
35,199;12,855;7,91;12,855;79,1
35,3;12,855;7,91;12,855;79,1
35,4;12,855;7,91;12,855;79,1
35,5;12,855;7,91;12,855;79,1
35,601;12,855;7,91;12,855;79,1
35,699;12,855;7,91;12,855;79,1
35,799;12,855;7,91;12,855;79,1
35,901;12,855;7,91;12,855;79,1
36;12,855;7,91;12,855;79,1
36,101;12,855;7,91;12,855;79,1
36,201;12,855;7,91;12,855;79,1
36,3;12,855;7,91;12,855;79,1
