Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;0,375;0;0,375;0
0,1;2,22;0,01;2,22;0,1
0,2;0,345;0,04;0,345;0,4
0,301;0,375;0,07;0,375;0,7
0,4;0,375;0,1;0,375;1
0,5;0,375;0,13;0,375;1,3
0,6;0,375;0,155;0,375;1,55
0,701;0,375;0,185;0,375;1,85
0,8;0,375;0,215;0,375;2,15
0,901;0,375;0,245;0,375;2,45
1,001;0,375;0,27;0,375;2,7
1,101;0,375;0,3;0,375;3
1,2;0,375;0,325;0,375;3,25
1,3;0,375;0,355;0,375;3,55
1,4;0,36;0,385;0,36;3,85
1,5;0,36;0,415;0,36;4,15
1,601;0,36;0,44;0,36;4,4
1,7;0,36;0,47;0,36;4,7
1,8;0,36;0,495;0,36;4,95
1,9;0,36;0,525;0,36;5,25
2;0,375;0,555;0,375;5,55
2,101;0,375;0,585;0,375;5,85
2,201;0,375;0,615;0,375;6,15
2,3;0,375;0,64;0,375;6,4
2,4;0,39;0,67;0,39;6,7
2,501;0,42;0,7;0,42;7
2,6;0,495;0,725;0,495;7,25
2,701;0,585;0,755;0,585;7,55
2,8;0,66;0,785;0,66;7,85
2,9;0,72;0,81;0,72;8,1
3,001;0,78;0,84;0,78;8,4
3,101;0,855;0,865;0,855;8,65
3,201;0,945;0,895;0,945;8,95
3,3;1,02;0,925;1,02;9,25
3,4;1,11;0,95;1,11;9,5
3,5;1,2;0,98;1,2;9,8
3,601;1,305;1,01;1,305;10,1
3,7;1,395;1,035;1,395;10,35
3,8;1,5;1,065;1,5;10,65
3,901;1,59;1,095;1,59;10,95
4,001;1,68;1,12;1,68;11,2
4,099;1,755;1,15;1,755;11,5
4,2;1,83;1,18;1,83;11,8
4,3;1,905;1,205;1,905;12,05
4,4;1,965;1,235;1,965;12,35
4,5;2,025;1,26;2,025;12,6
4,6;2,085;1,29;2,085;12,9
4,7;2,13;1,32;2,13;13,2
4,799;2,175;1,345;2,175;13,45
4,9;2,205;1,375;2,205;13,75
5;2,235;1,405;2,235;14,05
5,1;2,265;1,43;2,265;14,3
5,2;2,28;1,46;2,28;14,6
5,3;2,295;1,485;2,295;14,85
5,4;2,295;1,515;2,295;15,15
5,499;2,31;1,54;2,31;15,4
5,6;2,325;1,57;2,325;15,7
5,7;2,34;1,6;2,34;16
5,801;2,34;1,625;2,34;16,25
5,901;2,34;1,655;2,34;16,55
6;2,34;1,685;2,34;16,85
6,1;2,34;1,71;2,34;17,1
6,201;2,28;1,74;2,28;17,4
6,3;2,01;1,765;2,01;17,65
6,4;1,605;1,795;1,605;17,95
6,501;1,26;1,825;1,26;18,25
6,601;1,02;1,85;1,02;18,5
6,701;0,84;1,88;0,84;18,8
6,802;0,675;1,91;0,675;19,1
6,9;0,525;1,935;0,525;19,35
7;0,39;1,965;0,39;19,65
7,1;0,315;1,99;0,315;19,9
7,2;0,24;2,02;0,24;20,2
7,301;0,21;2,05;0,21;20,5
7,4;0,18;2,075;0,18;20,75
7,501;0,165;2,105;0,165;21,05
7,6;0,15;2,13;0,15;21,3
7,701;0,165;2,16;0,165;21,6
7,8;0,165;2,185;0,165;21,85
7,901;0,18;2,215;0,18;22,15
8;0,21;2,24;0,21;22,4
8,1;0,225;2,27;0,225;22,7
8,199;0,255;2,3;0,255;23
8,3;0,3;2,325;0,3;23,25
8,4;0,345;2,355;0,345;23,55
8,5;0,465;2,38;0,465;23,8
8,6;0,69;2,41;0,69;24,1
8,7;1,035;2,435;1,035;24,35
8,8;1,44;2,465;1,44;24,65
8,9;1,755;2,495;1,755;24,95
9;2,025;2,52;2,025;25,2
9,1;2,265;2,55;2,265;25,5
9,2;2,535;2,575;2,535;25,75
9,301;2,835;2,605;2,835;26,05
9,4;3,135;2,63;3,135;26,3
9,5;3,405;2,66;3,405;26,6
9,6;3,645;2,685;3,645;26,85
9,7;3,87;2,715;3,87;27,15
9,8;4,095;2,74;4,095;27,4
9,9;4,29;2,77;4,29;27,7
10,001;4,455;2,8;4,455;28
10,1;4,62;2,825;4,62;28,25
10,2;4,77;2,855;4,77;28,55
10,301;4,905;2,88;4,905;28,8
10,4;5,025;2,91;5,025;29,1
10,501;5,115;2,935;5,115;29,35
10,601;5,22;2,965;5,22;29,65
10,7;5,295;2,99;5,295;29,9
10,801;5,37;3,02;5,37;30,2
10,901;5,43;3,045;5,43;30,45
11;5,475;3,075;5,475;30,75
11,1;5,52;3,1;5,52;31
11,2;5,535;3,13;5,535;31,3
11,3;5,55;3,16;5,55;31,6
11,4;5,565;3,185;5,565;31,85
11,5;5,565;3,21;5,565;32,1
11,6;5,565;3,24;5,565;32,4
11,7;5,55;3,27;5,55;32,7
11,8;5,535;3,295;5,535;32,95
11,9;5,505;3,325;5,505;33,25
11,999;5,475;3,35;5,475;33,5
12,1;5,46;3,38;5,46;33,8
12,2;5,445;3,405;5,445;34,05
12,301;5,385;3,435;5,385;34,35
12,4;5,19;3,46;5,19;34,6
12,5;4,83;3,49;4,83;34,9
12,599;4,395;3,515;4,395;35,15
12,7;4,005;3,545;4,005;35,45
12,801;3,675;3,57;3,675;35,7
12,9;3,33;3,6;3,33;36
13;2,97;3,625;2,97;36,25
13,099;2,58;3,655;2,58;36,55
13,199;2,16;3,68;2,16;36,8
13,301;1,77;3,71;1,77;37,1
13,4;1,425;3,735;1,425;37,35
13,501;1,14;3,765;1,14;37,65
13,6;0,9;3,79;0,9;37,9
13,7;0,75;3,82;0,75;38,2
13,799;0,525;3,845;0,525;38,45
13,899;0,405;3,875;0,405;38,75
13,999;0,315;3,9;0,315;39
14,1;0,345;3,93;0,345;39,3
14,2;0,285;3,955;0,285;39,55
14,3;0,135;3,985;0,135;39,85
14,4;0,105;4,01;0,105;40,1
14,5;0,09;4,04;0,09;40,4
14,601;0,21;4,065;0,21;40,65
14,701;0,285;4,095;0,285;40,95
14,799;0,21;4,12;0,21;41,2
14,9;0,285;4,15;0,285;41,5
15;0,345;4,175;0,345;41,75
15,1;0,405;4,2;0,405;42
15,2;0,45;4,23;0,45;42,3
15,3;0,54;4,255;0,54;42,55
15,401;0,675;4,285;0,675;42,85
15,501;0,885;4,315;0,885;43,15
15,6;1,17;4,34;1,17;43,4
15,701;1,44;4,365;1,44;43,65
