Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;1.74;0.01;1.74;0.1
0.101;0.45;0.04;0.45;0.4
0.2;0.465;0.07;0.465;0.7
0.3;0.48;0.1;0.48;1
0.401;0.495;0.13;0.495;1.3
0.5;0.495;0.155;0.495;1.55
0.599;0.495;0.185;0.495;1.85
0.699;0.51;0.215;0.51;2.15
0.799;0.51;0.245;0.51;2.45
0.9;0.51;0.275;0.51;2.75
0.999;0.51;0.3;0.51;3
1.099;0.525;0.33;0.525;3.3
1.199;0.525;0.36;0.525;3.6
1.3;0.525;0.39;0.525;3.9
1.4;0.525;0.415;0.525;4.15
1.499;0.525;0.445;0.525;4.45
1.6;0.525;0.475;0.525;4.75
1.699;0.54;0.5;0.54;5
1.799;0.54;0.53;0.54;5.3
1.9;0.54;0.56;0.54;5.6
1.999;0.375;0.59;0.375;5.9
2.1;0.54;0.615;0.54;6.15
2.199;0.39;0.645;0.39;6.45
2.3;0.54;0.675;0.54;6.75
2.4;0.525;0.7;0.525;7
2.499;0.405;0.73;0.405;7.3
2.6;0.405;0.76;0.405;7.6
2.7;0.42;0.79;0.42;7.9
2.799;0.42;0.815;0.42;8.15
2.9;0.435;0.845;0.435;8.45
3;0.45;0.875;0.45;8.75
3.099;0.45;0.9;0.45;9
3.2;0.465;0.93;0.465;9.3
3.3;0.495;0.96;0.495;9.6
3.4;0.495;0.985;0.495;9.85
3.5;0.51;1.015;0.51;10.15
3.6;0.51;1.045;0.51;10.45
3.7;0.54;1.075;0.54;10.75
3.8;0.54;1.1;0.54;11
3.9;0.555;1.13;0.555;11.3
4.001;0.555;1.155;0.555;11.55
4.1;0.57;1.185;0.57;11.85
4.2;0.585;1.215;0.585;12.15
4.3;0.6;1.24;0.6;12.4
4.4;0.6;1.27;0.6;12.7
4.499;0.615;1.3;0.615;13
4.599;0.63;1.325;0.63;13.25
4.7;0.645;1.355;0.645;13.55
4.8;0.645;1.385;0.645;13.85
4.899;0.66;1.41;0.66;14.1
5;0.675;1.44;0.675;14.4
5.1;0.69;1.465;0.69;14.65
5.2;0.705;1.495;0.705;14.95
5.3;0.72;1.525;0.72;15.25
5.4;0.735;1.555;0.735;15.55
5.5;0.735;1.58;0.735;15.8
5.6;0.75;1.61;0.75;16.1
5.7;0.765;1.635;0.765;16.35
5.799;0.78;1.665;0.78;16.65
5.9;0.795;1.695;0.795;16.95
6;0.81;1.72;0.81;17.2
6.1;0.825;1.75;0.825;17.5
6.2;0.825;1.775;0.825;17.75
6.3;0.81;1.805;0.81;18.05
6.4;0.78;1.835;0.78;18.35
6.5;0.75;1.86;0.75;18.6
6.599;0.72;1.89;0.72;18.9
6.7;0.69;1.92;0.69;19.2
6.801;0.66;1.945;0.66;19.45
6.9;0.63;1.975;0.63;19.75
7.001;0.6;2.005;0.6;20.05
7.1;0.585;2.03;0.585;20.3
7.2;0.555;2.06;0.555;20.6
7.3;0.555;2.085;0.555;20.85
7.399;0.54;2.115;0.54;21.15
7.5;0.54;2.145;0.54;21.45
7.599;0.54;2.17;0.54;21.7
7.7;0.54;2.2;0.54;22
7.8;0.54;2.225;0.54;22.25
7.901;0.54;2.255;0.54;22.55
8.001;0.555;2.28;0.555;22.8
8.099;0.57;2.31;0.57;23.1
8.2;0.6;2.34;0.6;23.4
8.3;0.69;2.365;0.69;23.65
8.399;0.765;2.395;0.765;23.95
8.501;0.84;2.42;0.84;24.2
8.6;0.885;2.45;0.885;24.5
8.7;0.945;2.475;0.945;24.75
8.8;1.02;2.505;1.02;25.05
8.9;1.11;2.535;1.11;25.35
9;1.23;2.56;1.23;25.6
9.099;1.335;2.59;1.335;25.9
9.199;1.44;2.615;1.44;26.15
9.299;1.545;2.645;1.545;26.45
9.4;1.635;2.675;1.635;26.75
9.499;1.725;2.7;1.725;27
